n_qubits,depth,circuit_variant,E_Q,E_B2,M2,ci_low_M2,ci_high_M2,F,ci_low_F,ci_high_F,mean_grad_ratio,ci_low_mgr,ci_high_mgr,param_avg_var_plugin,var_plugin_over_M2,n_params,n_unique_seeds
4,4,hea,0.21043354771369,1.0004662208006774,0.2100595845888264,0.17437541966380682,0.2505359529752261,0.9977577166756557,0.9192783681613577,1.0668030086008442,0.05562385104293997,0.05790459495612192,0.1248701407809594,0.19837526154551566,0.94437614895706,32,30
6,4,hea,0.08066726000237306,1.1050810371001003,0.08762765557513637,0.07482519972471766,0.10190699324629111,0.9829914951015527,0.921449555190535,1.040940683590541,0.0275743737000555,0.038166500035654444,0.08971840280556327,0.08521137785384779,0.9724256262999443,48,30
8,4,hea,0.04134529146008251,0.9927635428393191,0.04143017473853916,0.03701434951574538,0.04676936420430406,1.0093572039083005,0.9792408217761078,1.0396118244804213,0.031797966600151086,0.04349630541695386,0.09326729064860098,0.04011277942596466,0.9682020333998487,64,30
10,4,hea,0.03275916685287492,0.970842566254723,0.031207207570233354,0.026696717144205913,0.03629432229187754,0.9812354997681269,0.9316555717709158,1.0317087957133615,0.036115656545642014,0.049005796825164004,0.09483757656622098,0.03008013877987824,0.9638843434543578,80,30
4,4,hva,4.764327822071066,1.8203772067946424,9.274152382451222,6.964666772888396,11.94119961342257,1.0693286475963322,0.9399970907301906,1.1872961131740987,0.02286854579228931,0.02083330788632281,0.1063859861446361,9.062066004008468,0.9771314542077107,12,30
6,4,hva,7.3156721001011,2.651723150476609,21.505529136741952,15.243320362099567,28.371067514967887,1.1085817405228569,0.9782118624842244,1.2409405936676174,0.023520842088603996,0.019984198426874163,0.11011141615088635,20.999700981884768,0.9764791579113958,12,30
8,4,hva,9.995049255815264,3.9457824958449663,43.56567204546449,31.36133824736685,57.331558862866515,1.104654172506828,0.9843806058346082,1.2413130017874157,0.02314384925138474,0.020329953161213613,0.10996270623233073,42.55739469910899,0.9768561507486152,12,30
10,4,hva,12.68792214243024,5.406758664068714,75.3132394898581,55.78536519028197,97.16911804136035,1.0978521044424525,0.9803486143145406,1.2318655633835816,0.02282700997570227,0.019993787724086137,0.10869444004915038,73.59406342072066,0.9771729900242977,12,30
4,6,hea,0.21825017973608699,1.026120532966704,0.22532675479903475,0.19964026612309752,0.25407618381292213,1.0061431478536866,0.9648592044841253,1.0477675600319392,0.029397328853908666,0.03821493525810866,0.09384780622885365,0.21870275008862347,0.9706026711460913,48,30
6,6,hea,0.07921866168131918,1.0206440758532982,0.08141484045295506,0.07433670156700582,0.08895316230107328,1.0069357398571008,0.9733310358775865,1.0347634005342288,0.040634659420078496,0.05092519033776964,0.10145477999532398,0.0781065761394092,0.9593653405799215,72,30
