n_qubits,depth,circuit_variant,n_seeds_used,n_terms,mean_abs_offdiag_obs,mean_abs_offdiag_ci_low,mean_abs_offdiag_ci_high,mean_abs_offdiag_null_low,mean_abs_offdiag_null_high,mean_abs_offdiag_above_null,block_zz_obs,block_zz_ci_low,block_zz_ci_high,block_zz_null_low,block_zz_null_high,block_zz_above_null,block_zz_below_null,block_zz_outside_null,block_x_obs,block_x_ci_low,block_x_ci_high,block_x_null_low,block_x_null_high,block_x_above_null,block_x_below_null,block_x_outside_null,block_z_obs,block_z_ci_low,block_z_ci_high,block_z_null_low,block_z_null_high,block_z_above_null,block_z_below_null,block_z_outside_null,block_zz_x_obs,block_zz_x_ci_low,block_zz_x_ci_high,block_zz_x_null_low,block_zz_x_null_high,block_zz_x_above_null,block_zz_x_below_null,block_zz_x_outside_null,block_zz_z_obs,block_zz_z_ci_low,block_zz_z_ci_high,block_zz_z_null_low,block_zz_z_null_high,block_zz_z_above_null,block_zz_z_below_null,block_zz_z_outside_null,block_x_z_obs,block_x_z_ci_low,block_x_z_ci_high,block_x_z_null_low,block_x_z_null_high,block_x_z_above_null,block_x_z_below_null,block_x_z_outside_null,block_zz_abs_obs,block_zz_abs_ci_low,block_zz_abs_ci_high,block_zz_abs_null_low,block_zz_abs_null_high,block_zz_abs_above_null,block_x_abs_obs,block_x_abs_ci_low,block_x_abs_ci_high,block_x_abs_null_low,block_x_abs_null_high,block_x_abs_above_null,block_z_abs_obs,block_z_abs_ci_low,block_z_abs_ci_high,block_z_abs_null_low,block_z_abs_null_high,block_z_abs_above_null,block_zz_x_abs_obs,block_zz_x_abs_ci_low,block_zz_x_abs_ci_high,block_zz_x_abs_null_low,block_zz_x_abs_null_high,block_zz_x_abs_above_null,block_zz_z_abs_obs,block_zz_z_abs_ci_low,block_zz_z_abs_ci_high,block_zz_z_abs_null_low,block_zz_z_abs_null_high,block_zz_z_abs_above_null,block_x_z_abs_obs,block_x_z_abs_ci_low,block_x_z_abs_ci_high,block_x_z_abs_null_low,block_x_z_abs_null_high,block_x_z_abs_above_null,lam_max_obs,lam_max_ci_low,lam_max_ci_high,lam_max_null_low,lam_max_null_high,lam_max_above_null,lam_max_null_median,lam_max_excess,lam_max_ratio
4,4,hea,30,11,0.1518560606060606,0.14666666666666664,0.15704545454545457,0.11867424242424243,0.12776515151515153,True,-0.013194444444444444,-0.051388888888888894,0.025694444444444443,-0.02986111111111111,0.027777777777777776,False,False,False,0.01770833333333333,-0.021875,0.061111111111111116,-0.02396701388888889,0.022578124999999987,False,False,False,-0.010069444444444443,-0.035763888888888894,0.014592013888888847,-0.02500868055555556,0.02361979166666666,False,False,False,-0.0026041666666666674,-0.022395833333333334,0.017013888888888884,-0.015108506944444447,0.016145833333333335,False,False,False,-0.011284722222222225,-0.02986111111111111,0.007291666666666667,-0.016319444444444442,0.0159765625,False,False,False,0.004166666666666667,-0.011852213541666667,0.020182291666666668,-0.014322916666666666,0.014195963541666664,False,False,False,0.14652777777777778,0.12499999999999999,0.16874999999999998,0.1013888888888889,0.13958333333333334,True,0.17291666666666666,0.1548611111111111,0.19062499999999996,0.11179687499999996,0.13958333333333336,True,0.17152777777777778,0.15486111111111114,0.18784722222222222,0.11283854166666667,0.14097222222222222,True,0.13350694444444444,0.1234375,0.14444878472222222,0.11076388888888888,0.13003906249999997,True,0.1498263888888889,0.1376736111111111,0.16336805555555553,0.11284288194444442,0.1310763888888889,True,0.15286458333333333,0.14427083333333332,0.1617220052083333,0.11744791666666667,0.133984375,True,2.1000935711507185,2.0235298862268554,2.1768140124469912,1.7228469521453815,1.8432403642347654,True,1.7847434445820585,0.31535012656866,1.1766921332732543
6,4,hea,30,17,0.1075265522875817,0.10452359068627452,0.11068244485294118,0.0926981209150327,0.0970907373366013,True,-0.013888888888888892,-0.02597569444444445,-0.0008333333333333343,-0.011809027777777776,0.014166666666666664,False,True,True,0.010277777777777778,-0.004444444444444444,0.026856481481481453,-0.010097222222222224,0.009907407407407405,True,False,True,0.006759259259259261,-0.00796296296296296,0.02315740740740736,-0.01231481481481481,0.011296296296296296,False,False,False,0.008055555555555555,0.0016666666666666672,0.015092592592592593,-0.007783564814814814,0.007269675925925926,True,False,True,0.0027314814814814823,-0.005927083333333334,0.011342592592592592,-0.007504629629629631,0.007553240740740735,False,False,False,0.007175925925925924,-0.0017756558641975303,0.016165123456790123,-0.007369791666666667,0.006097608024691355,True,False,True,0.10305555555555555,0.09527430555555554,0.11138888888888888,0.08375,0.09875347222222225,True,0.1097222222222222,0.10166435185185184,0.11796527777777778,0.08601620370370366,0.09953703703703702,True,0.12157407407407407,0.11444212962962963,0.12805555555555556,0.09499999999999999,0.10907870370370369,True,0.1039351851851852,0.09916666666666665,0.10916666666666665,0.08773032407407408,0.09685300925925927,True,0.10300925925925927,0.09717476851851851,0.10916666666666666,0.08990625000000001,0.09930555555555555,True,0.10875771604938272,0.10227527006172839,0.11535493827160491,0.09205246913580249,0.1006568287037037,True,2.0296202710946587,1.9761394084288653,2.083311056319735,1.748312490815562,1.8383332893493616,True,1.7935080643836514,0.2361122067110073,1.1316482548363387
8,4,hea,30,23,0.08931982872200266,0.08718235342555995,0.09139935359025032,0.07815340909090909,0.08099112730566536,True,0.0007936507936507935,-0.006003224206349208,0.00744047619047619,-0.007096974206349207,0.008085317460317458,False,False,False,0.006101190476190477,-0.0018601190476190475,0.01406622023809522,-0.006437872023809524,0.006697358630952379,False,False,False,-0.007254464285714288,-0.014807477678571431,-0.0005571056547619096,-0.006994977678571429,0.00796316964285714,False,True,True,-0.002678571428571429,-0.008519345238095239,0.0032556733630952368,-0.00470610119047619,0.004520089285714286,False,False,False,-0.0020461309523809525,-0.005766834077380954,0.001582031249999994,-0.0045577566964285715,0.0045400855654761894,False,False,False,-0.006949869791666666,-0.011816813151041666,-0.0020833333333333333,-0.004688720703125,0.004332275390624998,False,True,True,0.0847222222222222,0.08090153769841268,0.08893849206349205,0.07177579365079365,0.08085441468253969,True,0.0851934523809524,0.07957589285714287,0.09066313244047619,0.07354352678571427,0.08151134672619048,True,0.10628720238095238,0.09877232142857145,0.11413876488095238,0.08262555803571428,0.09174293154761903,True,0.08404017857142856,0.08050502232142855,0.08763299851190474,0.07408575148809522,0.0795396205357143,True,0.08798363095238096,0.08387230282738095,0.09189034598214288,0.07669270833333333,0.08255208333333335,True,0.09099934895833334,0.08797159830729166,0.09363606770833334,0.07799479166666666,0.08330078125,True,2.0793240918940956,2.00984427574169,2.1532991485027586,1.7616375594813085,1.8419512114842667,True,1.7984591033621626,0.280864988531933,1.1561697944684228
10,4,hea,30,29,0.07833333333333334,0.07703812602627255,0.07966959154351395,0.06873953201970442,0.07054402709359607,True,-0.0035879629629629616,-0.009375578703703702,0.0023148148148148164,-0.004630787037037037,0.005468171296296291,False,False,False,0.0010925925925925927,-0.0027407407407407398,0.004907870370370368,-0.004687037037037036,0.004537037037037036,False,False,False,-0.008333333333333333,-0.013722685185185183,-0.00237037037037037,-0.005259259259259258,0.005407870370370371,False,True,True,0.0016851851851851847,-0.001490972222222223,0.00499074074074074,-0.0028895833333333325,0.0032504629629629632,False,False,False,0.0032314814814814814,0.0006759259259259258,0.005824305555555556,-0.003196527777777778,0.003009490740740741,True,False,True,-0.002766666666666667,-0.005516875000000002,-7.416666666667165e-05,-0.0031433333333333343,0.0032087500000000002,False,False,False,0.07900462962962963,0.07506944444444445,0.08314872685185183,0.06356365740740741,0.06967650462962961,True,0.07362962962962964,0.07098148148148149,0.07600000000000001,0.06466574074074075,0.06988935185185186,True,0.09646296296296294,0.09240601851851853,0.10076018518518517,0.07448101851851853,0.08057546296296295,True,0.07797222222222223,0.07552777777777779,0.08037986111111113,0.06520370370370371,0.06914837962962964,True,0.07437037037037038,0.07196296296296296,0.07675949074074073,0.06769305555555556,0.0715465277777778,True,0.07594166666666666,0.07339979166666667,0.07831708333333333,0.068533125,0.07218395833333333,True,2.0805205697972387,2.0152224602678097,2.1491990674242976,1.7667414388525573,1.8395665014681406,True,1.80195107167578,0.2785694981214586,1.1545932642124375
4,4,hva,30,11,0.3781818181818182,0.3561616161616161,0.40040909090909077,0.1997954545454545,0.21535353535353532,True,0.4000000000000001,0.30000000000000004,0.5037037037037037,-0.05555555555555555,0.055648148148148065,True,False,True,0.26666666666666666,0.162962962962963,0.37777777777777766,-0.040740740740740744,0.04168981481481479,True,False,True,0.25555555555555554,0.1592592592592593,0.351944444444444,-0.03611111111111111,0.038912037037037016,True,False,True,-0.02592592592592594,-0.08518518518518517,0.03243055555555542,-0.02824074074074074,0.025949074074074048,False,False,False,0.037037037037037056,-0.06486111111111112,0.13425925925925924,-0.0259375,0.02638888888888889,True,False,True,-0.019444444444444445,-0.07506944444444445,0.030624999999999625,-0.022222222222222216,0.023611111111111107,False,False,False,0.5259259259259259,0.45925925925925937,0.5925925925925927,0.17407407407407405,0.24083333333333326,True,0.5925925925925924,0.5296296296296297,0.6518518518518519,0.19905092592592588,0.25092592592592594,True,0.5074074074074074,0.4555555555555556,0.562962962962963,0.17962962962962964,0.23055555555555554,True,0.29814814814814816,0.2592592592592593,0.3379629629629629,0.18934027777777776,0.22175925925925927,True,0.3796296296296296,0.32960648148148153,0.4305555555555555,0.1884259259259259,0.2226967592592593,True,0.28055555555555556,0.2472222222222222,0.3166666666666666,0.19097222222222224,0.22013888888888886,True,4.7193937888447595,4.457629246948725,4.989390226182585,2.54321301136441,2.7702955402368254,True,2.6595616658402843,2.059832123004475,1.774500606419921
6,4,hva,30,17,0.39771241830065357,0.3701797385620915,0.425171568627451,0.20224571078431372,0.21254084967320258,True,0.41888888888888887,0.3277777777777777,0.5111111111111111,-0.02777777777777778,0.02888888888888889,True,False,True,0.3066666666666666,0.21777777777777776,0.4014814814814815,-0.02592592592592592,0.027037037037037033,True,False,True,0.3266666666666667,0.24962962962962967,0.40370370370370373,-0.024824074074074078,0.024083333333333328,True,False,True,-0.03407407407407407,-0.0959351851851852,0.026305555555555516,-0.017777777777777778,0.01760648148148147,False,True,True,0.014814814814814802,-0.09890740740740744,0.12925925925925927,-0.01796296296296296,0.016861111111111104,False,False,False,0.0037037037037037043,-0.07160493827160491,0.06729938271604931,-0.016666666666666666,0.015439814814814812,False,False,False,0.5122222222222221,0.44775,0.5733333333333335,0.18555555555555558,0.22447222222222224,True,0.591111111111111,0.5377777777777778,0.6444444444444445,0.20925,0.2422222222222222,True,0.5103703703703705,0.4659259259259259,0.5577777777777778,0.1896111111111111,0.22185185185185186,True,0.30074074074074075,0.25481481481481477,0.3485185185185185,0.19444444444444448,0.21519444444444447,True,0.402962962962963,0.3574074074074074,0.44556481481481486,0.19443981481481484,0.21611574074074077,True,0.31481481481481477,0.272824074074074,0.36111111111111105,0.19505401234567893,0.21481481481481476,True,7.433391028826744,6.905122606829155,7.9589452185097125,3.3625148849820614,3.62129879800894,True,3.4859006701696593,3.9474903586570846,2.1324161908678136
8,4,hva,30,23,0.42419850680720234,0.39436539306104523,0.4554249011857707,0.20375494071146247,0.21091622749231445,True,0.4867724867724867,0.4089814814814814,0.5608597883597881,-0.019060846560846566,0.022222222222222216,True,False,True,0.39999999999999997,0.3261904761904762,0.4825595238095236,-0.01964285714285714,0.020248015873015866,True,False,True,0.4119047619047619,0.35158730158730156,0.4753968253968254,-0.01646825396825397,0.01944444444444444,True,False,True,-0.03333333333333334,-0.10539186507936506,0.03592261904761899,-0.012499999999999995,0.01260664682539682,False,True,True,0.008134920634920639,-0.12044642857142855,0.13434523809523802,-0.012499999999999999,0.012502480158730156,False,False,False,0.009027777777777782,-0.07291666666666667,0.08819444444444444,-0.011458333333333329,0.011115451388888885,False,False,False,0.5682539682539682,0.5158597883597884,0.6201190476190476,0.1920634920634921,0.2180026455026455,True,0.6317460317460318,0.5825198412698412,0.6785912698412698,0.21349206349206348,0.2381001984126984,True,0.5563492063492064,0.5134920634920636,0.5984126984126983,0.19444444444444445,0.2168650793650793,True,0.3087301587301587,0.25713789682539673,0.36349702380952376,0.1976165674603174,0.21310019841269837,True,0.42916666666666675,0.37996031746031744,0.48035714285714287,0.19672619047619047,0.21250248015873016,True,0.325,0.2756944444444444,0.375,0.19773871527777775,0.21284722222222216,True,10.553464267480017,9.74538295910838,11.357939890062543,4.125361675234313,4.411415279136517,True,4.265461118074161,6.2880031494058555,2.47416726476805
10,4,hva,30,29,0.444280240831965,0.4128892993979201,0.4759995894909688,0.20437807881773398,0.21027743568691842,True,0.5404320987654322,0.475300925925926,0.6018595679012345,-0.015740740740740736,0.01729166666666666,True,False,True,0.48246913580246914,0.41629629629629633,0.5486419753086421,-0.015311728395061728,0.01617592592592592,True,False,True,0.47777777777777775,0.4224691358024692,0.5320987654320988,-0.0137037037037037,0.01556172839506172,True,False,True,-0.03580246913580247,-0.11470061728395062,0.043339506172839465,-0.010188271604938272,0.010063271604938268,False,True,True,0.0054320987654320994,-0.13434259259259257,0.14963271604938275,-0.009574074074074073,0.009382716049382714,False,False,False,0.014222222222222218,-0.07313888888888889,0.10156666666666662,-0.010222222222222221,0.009558333333333332,True,False,True,0.6089506172839506,0.5629552469135802,0.6577237654320987,0.19475308641975309,0.2148148148148148,True,0.6760493827160494,0.6296296296296297,0.719506172839506,0.21530864197530866,0.23543518518518522,True,0.5962962962962963,0.5587654320987655,0.6348395061728395,0.19666666666666666,0.21395061728395062,True,0.3120987654320988,0.2571604938271605,0.3720987654320987,0.1991975308641976,0.21135802469135803,True,0.4464197530864198,0.3938240740740741,0.4998796296296296,0.19882716049382718,0.21160648148148148,True,0.32933333333333337,0.2750944444444444,0.3846666666666666,0.19910833333333333,0.21077777777777779,True,13.837327582605557,12.863651697081792,14.804122269441303,4.861109733464637,5.166127242963351,True,5.001483036309541,8.835844546296016,2.7666449095498176
4,6,hea,30,11,0.141969696969697,0.13666540404040403,0.14757702020202018,0.1021199494949495,0.10964772727272727,True,0.00787037037037037,-0.020833333333333336,0.039826388888888835,-0.025925925925925925,0.025474537037037028,False,False,False,-0.009722222222222222,-0.03425925925925926,0.015740740740740736,-0.01945023148148148,0.01990740740740741,False,False,False,-0.0016203703703703705,-0.023611111111111104,0.02337962962962963,-0.019456018518518515,0.018981481481481478,False,False,False,0.017361111111111112,0.001388888888888891,0.03472511574074073,-0.013197337962962966,0.01284722222222222,True,False,True,-0.010069444444444442,-0.030095486111111108,0.010532407407407409,-0.013431712962962961,0.013541666666666667,False,False,False,0.004774305555555553,-0.010503472222222221,0.020141059027777766,-0.012851562499999998,0.011720920138888887,False,False,False,0.15231481481481485,0.1287037037037037,0.1768634259259259,0.08793981481481482,0.11944444444444446,True,0.16064814814814815,0.14166666666666666,0.18217592592592585,0.09560185185185184,0.11852430555555557,True,0.16018518518518518,0.14327546296296295,0.17800925925925926,0.09606481481481481,0.11991319444444444,True,0.12407407407407406,0.11412037037037037,0.1334519675925926,0.0964091435185185,0.112734375,True,0.1427083333333333,0.13171296296296295,0.15462962962962962,0.0976851851851852,0.11296585648148148,True,0.13906249999999998,0.12864366319444442,0.14965277777777777,0.09965060763888892,0.11388888888888887,True,2.083014805621731,1.9985449246286333,2.1769844166940318,1.6299550988830458,1.7232310925498093,True,1.6771169987840633,0.40589780683766774,1.2420211631817877
6,6,hea,30,17,0.09975490196078435,0.09690206290849673,0.10257386982570806,0.08153543709150327,0.0854307938453159,True,-0.00111111111111111,-0.012226851851851852,0.01138888888888889,-0.01231712962962963,0.011310185185185173,False,False,False,-0.008765432098765432,-0.0192608024691358,0.0029012345679012325,-0.01,0.009631172839506172,False,False,False,0.0032716049382716045,-0.010003086419753086,0.016853395061728386,-0.01062037037037037,0.010001543209876545,False,False,False,0.0055246913580246915,-0.0011419753086419754,0.0120679012345679,-0.006266203703703703,0.0066975308641975305,False,False,False,0.0046604938271604945,-0.0038896604938271615,0.013182098765432082,-0.006359567901234565,0.006635802469135804,False,False,False,-0.00360082304526749,-0.010185828189300413,0.0031635802469135795,-0.006252572016460905,0.0060738168724279815,False,False,False,0.09499999999999999,0.08805555555555554,0.10268749999999997,0.07472222222222222,0.08833333333333332,True,0.10160493827160492,0.09438271604938273,0.1083966049382716,0.07709722222222222,0.08827623456790124,True,0.11555555555555555,0.1071604938271605,0.12370370370370369,0.08092592592592593,0.09352006172839505,True,0.09055555555555556,0.0862337962962963,0.09521604938271606,0.0781466049382716,0.08614583333333332,True,0.10287037037037038,0.09675925925925925,0.10941358024691358,0.0792577160493827,0.08719135802469137,True,0.09879115226337448,0.09344071502057612,0.1039628343621399,0.08055555555555555,0.0879391718106996,True,1.987114559067532,1.9335599811400175,2.0405569825275895,1.6715640028503627,1.7452306704518106,True,1.7062603868362274,0.2808541722313047,1.1646021758449592
