n_qubits,depth,circuit_variant,mean_Q,bootstrap_sd_Q,ci_low_Q,ci_high_Q,n_params,n_unique_seeds
4,4,hea,0.21043354771368997,0.004791213158448528,0.20105218723163631,0.21994367192775932,32,30
6,4,hea,0.08066726000237306,0.0024792434001799377,0.07582159067771779,0.08560378316308374,48,30
8,4,hea,0.04134529146008251,0.002391906729836239,0.037329681955900446,0.04665186428887904,64,30
10,4,hea,0.03275916685287493,0.002314932397879765,0.028343176807327803,0.03746772408900102,80,30
4,4,hva,4.764327822071066,0.1936703766987915,4.396778215010205,5.150214154828773,12,30
6,4,hva,7.3156721001011,0.3564221533779955,6.623843859127447,8.01888234871175,12,30
8,4,hva,9.995049255815266,0.5437046577276675,8.917415497569067,11.045281761052545,12,30
10,4,hva,12.68792214243024,0.7379602336558508,11.291638473189762,14.176114939924728,12,30
4,6,hea,0.21825017973608699,0.003467158298426466,0.21130587003914603,0.22494385385853094,48,30
6,6,hea,0.07921866168131918,0.0010496307008907655,0.07721228016619062,0.08129716989653661,72,30
8,6,hea,0.027991855776505686,0.0006537547009780553,0.026765861442182678,0.029322983633279957,96,30
10,6,hea,0.011874665027054495,0.00048383850055807703,0.010992744794910076,0.012887963421066812,120,30
4,6,hva,4.029067267995885,0.1812000479692904,3.687929501223442,4.396170607805878,18,30
6,6,hva,5.850605322259306,0.3457386293942689,5.19653490517045,6.5521380422700455,18,30
8,6,hva,7.919905599213014,0.5158275235263557,6.94538933974908,8.972764481496025,18,30
10,6,hva,10.01117096859551,0.6840145161928315,8.689481859349414,11.33283971426411,18,30
4,8,hea,0.22157295725029108,0.0026087417726596996,0.2162423502799804,0.22670494258386917,64,30
6,8,hea,0.08198084360497987,0.0010344062951199236,0.07991757100185173,0.08396270494059904,96,30
8,8,hea,0.02727648790664775,0.00020030653054432462,0.02688324803536438,0.027676813041288165,128,30
10,8,hea,0.008812798130006027,8.615215357696555e-05,0.008646865649217442,0.008986273298867954,160,30
4,8,hva,3.7412539255725026,0.17088617161507277,3.4368375088323684,4.106147718152518,24,30
6,8,hva,5.208577603140012,0.343039610617815,4.603687959967713,5.925543101085542,24,30
8,8,hva,6.909548680752278,0.5304491487089693,5.968689100908392,8.04076495787508,24,30
10,8,hva,8.711044084105033,0.7329486733452859,7.4131909805900085,10.26506926311499,24,30
