depth,variant,n_from,n_to,dlog_M2,ci_low_dlog_M2,ci_high_dlog_M2,dlog_E_B2,ci_low_dlog_E_B2,ci_high_dlog_E_B2,dlog_E_Q,ci_low_dlog_E_Q,ci_high_dlog_E_Q,dlog_F,ci_low_dlog_F,ci_high_dlog_F,identity_residual,share_B2_of_M2_change,share_Q_of_M2_change,share_F_of_M2_change
4,hea,4,6,-0.8742945755780691,-1.1109953702761703,-0.6345459918781133,0.09945255686935334,-0.04930084452596288,0.25086542508243526,-0.9588371225987515,-1.0350875212213042,-0.8857446933564224,-0.014910009848670957,-0.1093492597255682,0.08526257178517399,0.0,-0.11375177159665774,1.096698011611,0.017053759985657814
4,hea,6,8,-0.7490871772693968,-0.9459723041994319,-0.5479898005869324,-0.10718143634475663,-0.2146711398795748,7.678711911424754e-05,-0.6683742482497208,-0.7904108612098854,-0.5388992070737602,0.026468507325080652,-0.03882216458060012,0.0986603599666502,0.0,0.14308272734751487,0.8922516210811483,-0.03533434842866319
4,hea,8,10,-0.28336039375902855,-0.4753339285434302,-0.09296190114723309,-0.02232819219434366,-0.08989147193187592,0.0451898550798675,-0.23277571779307493,-0.41233389595632663,-0.0601719937185264,-0.02825648377160967,-0.08903172175573605,0.029483272189950404,-2.7755575615628914e-16,0.07879785843794279,0.8214828992333659,0.0997192423286903
4,hva,4,6,0.8410788542414616,0.42643090166464936,1.2448161894623924,0.3761659380484025,0.09232670122003346,0.6556484502190694,0.42886244848139565,0.30128432844127995,0.5537992169838264,0.03605046771166334,-0.1316525391868013,0.20873670743652897,1.1102230246251565e-16,0.44724217729579335,0.5098956492826955,0.04286217342151105
4,hva,6,8,0.7059594306124528,0.28544012073051955,1.149257761447091,0.39743761177729875,0.09318443145789342,0.6982880796055821,0.31207098602129535,0.16805268189356834,0.4514312699682107,-0.0035491671861416496,-0.17329672482254785,0.1598669084133916,3.3306690738754696e-16,0.5629751435326857,0.44205229435147453,-0.005027437884160824
4,hva,8,10,0.5473864407547007,0.13357115138441916,0.96359072814682,0.31500248950315757,0.017720318180887474,0.6140452435578501,0.23856063257249804,0.0804182564694214,0.3998533262780366,-0.00617668132095453,-0.1746368974570908,0.16242651227515678,-4.440892098500626e-16,0.5754663726577749,0.43581757751175976,-0.011283950169533841
6,hea,4,6,-1.0179940207318656,-1.1700057843928162,-0.8625941169555894,-0.005351343441109338,-0.1280033707938717,0.12449281777707592,-1.0134301198984035,-1.0542025111500968,-0.9723753874901441,0.0007874426076470778,-0.049983867952708864,0.05109004051702681,2.220446049250313e-16,0.005256753313012685,0.9955167704912637,-0.0007735238042763378
6,hea,6,8,-1.0092505526014057,-1.1270432190069366,-0.8923258346055895,0.036369894761399,-0.0575660137955969,0.1352517893828402,-1.0402982956130713,-1.092185035463742,-0.9860174369453024,-0.0053221517497333,-0.045919717024550825,0.03662952765717057,-2.220446049250313e-16,-0.03603653688140506,1.0307631667197388,0.005273370161666124
6,hea,8,10,-0.930909487214596,-1.0593328003442137,-0.8066439599554478,-0.0545293138671361,-0.1173228120688977,0.009644492295085585,-0.8575064614661403,-0.949503488432071,-0.7625965340634404,-0.01887371188131956,-0.0608918923019002,0.022224802183614976,0.0,0.058576386443643415,0.9211491270025755,0.020274486553781074
6,hva,4,6,0.7878605514238781,0.4678489349071828,1.0900163482129763,0.34741361150656436,0.16393680575787362,0.5269472408878103,0.37301022775804693,0.22400463711526963,0.5172546346685962,0.0674367121592666,-0.07777469396974733,0.20739281414359376,2.220446049250313e-16,0.4409582519123385,0.47344701684062757,0.08559473124703366
6,hva,6,8,0.7428464337349561,0.39846650032914466,1.0771024925292803,0.39741888352763377,0.18966216577287245,0.6017670386543733,0.3028341566828219,0.12483122347661828,0.4743048394571673,0.0425933935245003,-0.08953556033091241,0.1766899692952915,1.1102230246251565e-16,0.5349946711454913,0.40766724174766866,0.057338087106839915
6,hva,8,10,0.5804601380260777,0.25705735039341276,0.9163239299978175,0.3358777337496628,0.12385153492326892,0.5429814225498715,0.23432227990117527,0.04639429793660195,0.421549787661536,0.010260124375239793,-0.11713266897241219,0.1389810529155904,-2.220446049250313e-16,0.5786404814839726,0.40368367188488685,0.017675846631140843
8,hea,4,6,-1.075975437288488,-1.2211552712000713,-0.9273949153534173,-0.059042556470366075,-0.19511367511233213,0.07523908594739215,-0.9942663079585801,-1.027685074651487,-0.9598768725457653,-0.02266657285954183,-0.057751148654307874,0.013343302379395489,0.0,0.05487351701926977,0.9240604139293188,0.021066069051411368
8,hea,6,8,-1.0908828542863453,-1.1828385123105276,-0.99779478405419,-0.0002868261223358433,-0.07879558777120026,0.078559297393873,-1.1004605231363942,-1.12922411720255,-1.071348256535833,0.009864494972384405,-0.02128974514339409,0.041929864408009054,2.220446049250313e-16,0.00026293026900994304,1.0087797409340662,-0.009042671203075925
8,hea,8,10,-1.1047672480124984,-1.1761418191837136,-1.0321410133435232,0.02763138444304966,-0.02641613756634844,0.08081696451277966,-1.1298200843408606,-1.1537795456314424,-1.105677614897238,-0.002578548114687649,-0.030710753316177657,0.02708154516770497,2.220446049250313e-16,-0.025011045985259932,1.0226770266528382,0.002334019332421844
8,hva,4,6,0.7417694361802667,0.4086264083026301,1.066943705654281,0.28341767965385656,0.036952554522859726,0.5277263855436812,0.33088597620563,0.1731385402018746,0.4939261854671144,0.1274657803207802,0.013075212136603506,0.2470724965414438,0.0,0.3820832536769278,0.4460765839982887,0.17184016232478355
8,hva,6,8,0.6562424181628455,0.3091870697392175,0.9928314653743633,0.33180327659278963,0.09671260682538882,0.5839336334734484,0.28259751606029604,0.08468411080836605,0.48025762178589354,0.041841625509759686,-0.045873023058535745,0.12627697903493243,1.1102230246251565e-16,0.5056108343646466,0.43062976156193844,0.06375940407341477
8,hva,8,10,0.5529461816076204,0.1970730532284627,0.9062408059826973,0.2996913505401897,0.07243535729355254,0.5320238880363908,0.23168733384605011,0.012546470552343657,0.4496926973165339,0.021567497221381016,-0.05757271979706171,0.10002305525083385,-4.440892098500626e-16,0.5419900896482825,0.41900521524978934,0.03900469510192885
