n_qubits,depth,circuit_variant,mean_B2,bootstrap_sd_B2,ci_low_B2,ci_high_B2,B2_minus_random_baseline,ci_contains_random_baseline_1,mean_N_eff,ratio_of_means_B2_over_Neff,mean_organization_fraction,ci_low_organization_fraction,ci_high_organization_fraction,n_params,n_unique_seeds
4,4,hea,1.0004662208006774,0.06003255009919225,0.8885833222761914,1.1234220657054887,0.0004662208006773749,True,5.580792586066723,0.1792695581087335,0.22485194554461607,0.20075516698939255,0.24891403661798087,32,30
6,4,hea,1.1050810371001003,0.052606332402375354,1.0058962291872813,1.2099579099648161,0.1050810371001003,False,7.168450091031972,0.15415899156256976,0.2186585738649999,0.20256059573627927,0.2357763903116903,48,30
8,4,hea,0.9927635428393191,0.024102561518686585,0.947845212811965,1.0425266188647122,-0.007236457160680887,True,8.108564573732133,0.12243394423414937,0.2002909419024318,0.19190918528191864,0.20830427952660183,64,30
10,4,hea,0.970842566254723,0.023795987770115924,0.9249662378338696,1.0179895208878031,-0.029157433745277017,True,7.883486649609717,0.12314888188499513,0.2058876841775561,0.19438916201165818,0.21779282232839497,80,30
4,4,hva,1.8203772067946418,0.17238475435583295,1.4945843900907416,2.1659305651207155,0.8203772067946418,False,6.659696355684786,0.2733423732210777,0.3123144605316431,0.25782910138382165,0.36822457897294397,12,30
6,4,hva,2.651723150476609,0.29075625297434904,2.0826520993970057,3.2109571384058055,1.651723150476609,False,10.216521424793944,0.2595524484528834,0.2871922640002303,0.23155734311623938,0.34661378401825765,12,30
8,4,hva,3.9457824958449663,0.4274659146488787,3.1500000933587806,4.788706702936454,2.9457824958449663,False,13.897899628692997,0.28391214509123924,0.31351841912853273,0.2526801853951893,0.3749723247350464,12,30
10,4,hva,5.406758664068714,0.5682066789175434,4.329940858008308,6.528524909971261,4.406758664068714,False,17.62598450401185,0.30674931450428095,0.33800134169713897,0.27628024733682827,0.3999565141633476,12,30
4,6,hea,1.026120532966704,0.051427185369722336,0.9288656044166742,1.1307664631060526,0.026120532966704024,True,6.125989987538243,0.1675028093506655,0.20367398460863995,0.1871606453475272,0.22163900474267628,48,30
6,6,hea,1.0206440758532982,0.04280007757318691,0.9405102400510128,1.1078616798236607,0.020644075853298194,True,8.62958969556809,0.1182726076046781,0.16113595167432024,0.15006121739894368,0.1720645958449903,72,30
8,6,hea,1.0584480904228712,0.027561419225970628,1.0082435840108692,1.1149308870332653,0.058448090422871246,False,10.896643076579444,0.0971352445871915,0.14659654268058128,0.13968377604036394,0.15360909319230528,96,30
10,6,hea,1.0022770443635085,0.020140469750001416,0.964440383822446,1.0440694344209485,0.002277044363508507,True,12.299838322483916,0.08148700967323785,0.13836539031631925,0.1329958119377736,0.14395643254492174,120,30
4,6,hva,1.646791074771742,0.09964838374704837,1.4502636037550394,1.8448029538305992,0.646791074771742,False,6.827080321082417,0.2412145452114217,0.2717411207718119,0.24691617570046584,0.29668541773895474,18,30
6,6,hva,2.3308714316734447,0.16904601621539386,2.016601934259427,2.666262402218448,1.3308714316734447,False,10.373079245378134,0.22470390677020963,0.24567434092976514,0.21733492428963044,0.274500338450537,18,30
8,6,hva,3.4682879505419173,0.2602096386678793,2.9824026361535303,3.996160397357552,2.4682879505419173,False,14.110928443108298,0.24578736718318564,0.2654998102727432,0.2322553296856877,0.3008624664528464,18,30
10,6,hva,4.852717318651127,0.3608473083093067,4.153867744322114,5.574850228028013,3.852717318651127,False,17.920596733714817,0.2707899402435352,0.2906187802244432,0.2558079407243461,0.3263529991537418,18,30
4,8,hea,1.038033914420831,0.06393153085447335,0.9219311732559693,1.168949696987785,0.03803391442083104,True,6.317784005970812,0.1643034825881679,0.19297631833142723,0.17345314419222846,0.21505893914182833,64,30
6,8,hea,0.9785199544976244,0.031542143176432634,0.91886620465094,1.041251792668918,-0.02148004550237559,True,9.154080690904316,0.106894399070559,0.14057140337442756,0.13272170741566133,0.1481144612487725,96,30
8,8,hea,0.9782393296606384,0.022683128100772595,0.9353833376971685,1.0242237179361249,-0.021760670339361576,True,11.865835631995358,0.08244167204060097,0.11717494204779852,0.11322714121604972,0.12152374289578317,128,30
10,8,hea,1.0056463397379756,0.013776687109833123,0.9785282937810875,1.031890078859682,0.00564633973797557,True,14.368556615241607,0.06998937796377021,0.11055333842826154,0.10653415223312428,0.11471024053668463,160,30
4,8,hva,1.963007945964506,0.16678298440403072,1.6515978036032612,2.301964960353181,0.963007945964506,False,6.777969189673961,0.28961594410241515,0.3170191085302749,0.27548465199894634,0.35964577024632066,24,30
6,8,hva,2.6062063098240587,0.24062546010882827,2.160082570601856,3.098178028355798,1.6062063098240587,False,10.386267673848954,0.25092809001890937,0.27148752205868437,0.2315441377396921,0.313436466424635,24,30
8,8,hva,3.631692958837725,0.3107304076250056,3.039171992434577,4.251612462921649,2.631692958837725,False,14.058393267829402,0.25832916249030596,0.2757010095792038,0.23639522124509205,0.3177362893286266,24,30
10,8,hva,4.900759876552089,0.3953074591749431,4.151377653927519,5.706411162446753,3.9007598765520886,False,17.811335422162234,0.2751483681821064,0.2914257656707153,0.25105758657077754,0.3331441834265386,24,30
