depth,variant,n_points,slope,slope_ci_low,slope_ci_high,intercept,r2,decay_factor_per_qubit,factor_ci_low,factor_ci_high
4,hea,4,-0.31241677570871795,-0.33592264560081975,-0.29049794856209005,-0.4831768290817077,0.9362834480593519,0.7316765196726104,0.7146783871951494,0.7478910635626416
4,hva,4,0.16252765936234304,0.1397278181160484,0.18360862252016674,0.960785333461496,0.9829801446537915,1.1764808587090276,1.149960757771583,1.2015454732209165
6,hea,4,-0.4887001463272956,-0.5014921055935971,-0.4756913976049092,0.4041894104644759,0.9982703861263978,0.6134232366299853,0.6056263267704911,0.6214552352322591
6,hva,4,0.15166670748544758,0.12487130077952537,0.17615151911709317,0.8216232687602505,0.9896556417973921,1.1637722951921168,1.1330026271282783,1.192618749501218
8,hea,4,-0.5387050634721946,-0.5434575572806141,-0.5339380582650222,0.68554706505816,0.9991583877867025,0.5835033631772664,0.580736846191088,0.5862915671593801
8,hva,4,0.14090549971981117,0.11137982933030822,0.17083043711938695,0.7804674050590505,0.9938419449212008,1.1513158431740167,1.1178194068272853,1.186289581288259
