depth,variant,quantity,slope,slope_ci_low,slope_ci_high,factor_per_qubit,r2
4,hea,M2,-0.32346568085444394,-0.3607321709951713,-0.2846244466576932,0.7236367920926335,0.9574056368200374
4,hea,F,-0.0011812725780259632,-0.014051969104478697,0.014294168167299013,0.9988194248497814,0.05223942491510203
4,hva,M2,0.34946168037191466,0.28537878780131515,0.4091654903177088,1.418303842255769,0.9912375078619584
4,hva,F,0.0037712345213779938,-0.021324894372533276,0.03071654735555962,1.0037783545739347,0.35619010488995795
6,hea,M2,-0.4941856367122502,-0.5180764530039227,-0.47026218765206035,0.6100675216492947,0.9995624458279585
6,hea,F,-0.00377737074099753,-0.011586497977951022,0.004128621229554373,0.9962297545494154,0.7416461476452363
6,hva,M2,0.3538173901644845,0.3046655929458518,0.39915315553837205,1.4244950359233834,0.9954506016062385
6,hva,F,0.02017320418507601,-0.001636917017851563,0.041112037063850394,1.020378058472214,0.908463911062248
8,hea,M2,-0.5452879736524168,-0.5662471397491131,-0.5237940109593957,0.5796748282241652,0.9999651429492381
8,hea,F,-0.0018138691516575405,-0.007104071231446142,0.003700808429492286,0.9981877749148014,0.24569816371426878
8,hva,M2,0.325455826300752,0.2698976394124415,0.3798581896276708,1.3846616673573802,0.9958026164763476
8,hva,F,0.03072331673327611,0.014216798681550485,0.04811293900588208,1.0312001485860678,0.862203149475123
