zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_Z_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_z_obs,block_zz_x_obs,block_zz_z_obs,block_x_z_obs,block_zz_abs_obs,block_x_abs_obs,block_z_abs_obs,block_zz_x_abs_obs,block_zz_z_abs_obs,block_x_z_abs_obs,lam_max_ratio
1e-08,4,4,hea,0.2291666666666667,0.1640625,0.1518560606060606,-0.013194444444444444,0.01770833333333333,-0.010069444444444443,-0.0026041666666666674,-0.011284722222222225,0.004166666666666667,0.14652777777777778,0.17291666666666666,0.17152777777777778,0.13350694444444444,0.1498263888888889,0.15286458333333333,1.1794211204006433
1e-09,4,4,hea,0.2291666666666667,0.1640625,0.1518560606060606,-0.013194444444444444,0.01770833333333333,-0.010069444444444443,-0.0026041666666666674,-0.011284722222222225,0.004166666666666667,0.14652777777777778,0.17291666666666666,0.17152777777777778,0.13350694444444444,0.1498263888888889,0.15286458333333333,1.17880241460293
1e-10,4,4,hea,0.2291666666666667,0.1640625,0.1518560606060606,-0.013194444444444444,0.01770833333333333,-0.010069444444444443,-0.0026041666666666674,-0.011284722222222225,0.004166666666666667,0.14652777777777778,0.17291666666666666,0.17152777777777778,0.13350694444444444,0.1498263888888889,0.15286458333333333,1.1766921332732543
1e-12,4,4,hea,0.2291666666666667,0.1640625,0.1518560606060606,-0.013194444444444444,0.01770833333333333,-0.010069444444444443,-0.0026041666666666674,-0.011284722222222225,0.004166666666666667,0.14652777777777778,0.17291666666666666,0.17152777777777778,0.13350694444444444,0.1498263888888889,0.15286458333333333,1.1790667337173666
1e-08,6,4,hea,0.2916666666666667,0.18402777777777776,0.1075265522875817,-0.013888888888888892,0.010277777777777778,0.006759259259259261,0.008055555555555555,0.0027314814814814823,0.007175925925925924,0.10305555555555555,0.1097222222222222,0.12157407407407407,0.1039351851851852,0.10300925925925927,0.10875771604938272,1.1324270136973515
1e-09,6,4,hea,0.2916666666666667,0.18402777777777776,0.1075265522875817,-0.013888888888888892,0.010277777777777778,0.006759259259259261,0.008055555555555555,0.0027314814814814823,0.007175925925925924,0.10305555555555555,0.1097222222222222,0.12157407407407407,0.1039351851851852,0.10300925925925927,0.10875771604938272,1.1319034446361542
1e-10,6,4,hea,0.2916666666666667,0.18402777777777776,0.1075265522875817,-0.013888888888888892,0.010277777777777778,0.006759259259259261,0.008055555555555555,0.0027314814814814823,0.007175925925925924,0.10305555555555555,0.1097222222222222,0.12157407407407407,0.1039351851851852,0.10300925925925927,0.10875771604938272,1.1316482548363387
1e-12,6,4,hea,0.2916666666666667,0.18402777777777776,0.1075265522875817,-0.013888888888888892,0.010277777777777778,0.006759259259259261,0.008055555555555555,0.0027314814814814823,0.007175925925925924,0.10305555555555555,0.1097222222222222,0.12157407407407407,0.1039351851851852,0.10300925925925927,0.10875771604938272,1.1314675791904443
1e-08,8,4,hea,0.3348214285714286,0.197265625,0.08931982872200266,0.0007936507936507935,0.006101190476190477,-0.007254464285714288,-0.002678571428571429,-0.0020461309523809525,-0.006949869791666666,0.0847222222222222,0.0851934523809524,0.10628720238095238,0.08404017857142856,0.08798363095238096,0.09099934895833334,1.156897736267226
1e-09,8,4,hea,0.3348214285714286,0.197265625,0.08931982872200266,0.0007936507936507935,0.006101190476190477,-0.007254464285714288,-0.002678571428571429,-0.0020461309523809525,-0.006949869791666666,0.0847222222222222,0.0851934523809524,0.10628720238095238,0.08404017857142856,0.08798363095238096,0.09099934895833334,1.1556409089034458
1e-10,8,4,hea,0.3348214285714286,0.197265625,0.08931982872200266,0.0007936507936507935,0.006101190476190477,-0.007254464285714288,-0.002678571428571429,-0.0020461309523809525,-0.006949869791666666,0.0847222222222222,0.0851934523809524,0.10628720238095238,0.08404017857142856,0.08798363095238096,0.09099934895833334,1.1561697944684228
1e-12,8,4,hea,0.3348214285714286,0.197265625,0.08931982872200266,0.0007936507936507935,0.006101190476190477,-0.007254464285714288,-0.002678571428571429,-0.0020461309523809525,-0.006949869791666666,0.0847222222222222,0.0851934523809524,0.10628720238095238,0.08404017857142856,0.08798363095238096,0.09099934895833334,1.1568144820188155
1e-08,10,4,hea,0.36393518518518514,0.20624999999999993,0.07833949096880131,-0.003634259259259258,0.0010925925925925927,-0.008333333333333333,0.0016759259259259253,0.0032500000000000003,-0.002766666666666667,0.07902777777777777,0.07362962962962964,0.09646296296296294,0.07797222222222223,0.0743888888888889,0.07594166666666666,1.154306402930668
1e-09,10,4,hea,0.3638888888888889,0.20624999999999993,0.07833333333333334,-0.0035879629629629616,0.0010925925925925927,-0.008333333333333333,0.0016851851851851847,0.0032314814814814814,-0.002766666666666667,0.07900462962962963,0.07362962962962964,0.09646296296296294,0.07797222222222223,0.07437037037037038,0.07594166666666666,1.1544783939695185
1e-10,10,4,hea,0.3638888888888889,0.20624999999999993,0.07833333333333334,-0.0035879629629629616,0.0010925925925925927,-0.008333333333333333,0.0016851851851851847,0.0032314814814814814,-0.002766666666666667,0.07900462962962963,0.07362962962962964,0.09646296296296294,0.07797222222222223,0.07437037037037038,0.07594166666666666,1.1545932642124375
1e-12,10,4,hea,0.3638888888888889,0.20624999999999993,0.07833333333333334,-0.0035879629629629616,0.0010925925925925927,-0.008333333333333333,0.0016851851851851847,0.0032314814814814814,-0.002766666666666667,0.07900462962962963,0.07362962962962964,0.09646296296296294,0.07797222222222223,0.07437037037037038,0.07594166666666666,1.1535648226404993
1e-08,4,6,hea,0.15277777777777776,0.109375,0.141969696969697,0.00787037037037037,-0.009722222222222222,-0.0016203703703703705,0.017361111111111112,-0.010069444444444442,0.004774305555555553,0.15231481481481485,0.16064814814814815,0.16018518518518518,0.12407407407407406,0.1427083333333333,0.13906249999999998,1.2428378309095034
1e-09,4,6,hea,0.15277777777777776,0.109375,0.141969696969697,0.00787037037037037,-0.009722222222222222,-0.0016203703703703705,0.017361111111111112,-0.010069444444444442,0.004774305555555553,0.15231481481481485,0.16064814814814815,0.16018518518518518,0.12407407407407406,0.1427083333333333,0.13906249999999998,1.2419528506763322
1e-10,4,6,hea,0.15277777777777776,0.109375,0.141969696969697,0.00787037037037037,-0.009722222222222222,-0.0016203703703703705,0.017361111111111112,-0.010069444444444442,0.004774305555555553,0.15231481481481485,0.16064814814814815,0.16018518518518518,0.12407407407407406,0.1427083333333333,0.13906249999999998,1.2420211631817877
1e-12,4,6,hea,0.15277777777777776,0.109375,0.141969696969697,0.00787037037037037,-0.009722222222222222,-0.0016203703703703705,0.017361111111111112,-0.010069444444444442,0.004774305555555553,0.15231481481481485,0.16064814814814815,0.16018518518518518,0.12407407407407406,0.1427083333333333,0.13906249999999998,1.2427450631209023
1e-08,6,6,hea,0.1944444444444445,0.12268518518518517,0.09975490196078435,-0.00111111111111111,-0.008765432098765432,0.0032716049382716045,0.0055246913580246915,0.0046604938271604945,-0.00360082304526749,0.09499999999999999,0.10160493827160492,0.11555555555555555,0.09055555555555556,0.10287037037037038,0.09879115226337448,1.1643518348267472
1e-09,6,6,hea,0.1944444444444445,0.12268518518518517,0.09975490196078435,-0.00111111111111111,-0.008765432098765432,0.0032716049382716045,0.0055246913580246915,0.0046604938271604945,-0.00360082304526749,0.09499999999999999,0.10160493827160492,0.11555555555555555,0.09055555555555556,0.10287037037037038,0.09879115226337448,1.1637149305869257
1e-10,6,6,hea,0.1944444444444445,0.12268518518518517,0.09975490196078435,-0.00111111111111111,-0.008765432098765432,0.0032716049382716045,0.0055246913580246915,0.0046604938271604945,-0.00360082304526749,0.09499999999999999,0.10160493827160492,0.11555555555555555,0.09055555555555556,0.10287037037037038,0.09879115226337448,1.1646021758449592
