n_qubits,depth,circuit_variant,n_seeds_used,n_terms,mean_abs_offdiag_obs,mean_abs_offdiag_ci_low,mean_abs_offdiag_ci_high,mean_abs_offdiag_null_low,mean_abs_offdiag_null_high,mean_abs_offdiag_above_null,block_zz_obs,block_zz_ci_low,block_zz_ci_high,block_zz_null_low,block_zz_null_high,block_zz_above_null,block_zz_below_null,block_zz_outside_null,block_x_obs,block_x_ci_low,block_x_ci_high,block_x_null_low,block_x_null_high,block_x_above_null,block_x_below_null,block_x_outside_null,block_z_obs,block_z_ci_low,block_z_ci_high,block_z_null_low,block_z_null_high,block_z_above_null,block_z_below_null,block_z_outside_null,block_zz_x_obs,block_zz_x_ci_low,block_zz_x_ci_high,block_zz_x_null_low,block_zz_x_null_high,block_zz_x_above_null,block_zz_x_below_null,block_zz_x_outside_null,block_zz_z_obs,block_zz_z_ci_low,block_zz_z_ci_high,block_zz_z_null_low,block_zz_z_null_high,block_zz_z_above_null,block_zz_z_below_null,block_zz_z_outside_null,block_x_z_obs,block_x_z_ci_low,block_x_z_ci_high,block_x_z_null_low,block_x_z_null_high,block_x_z_above_null,block_x_z_below_null,block_x_z_outside_null,block_zz_abs_obs,block_zz_abs_ci_low,block_zz_abs_ci_high,block_zz_abs_null_low,block_zz_abs_null_high,block_zz_abs_above_null,block_x_abs_obs,block_x_abs_ci_low,block_x_abs_ci_high,block_x_abs_null_low,block_x_abs_null_high,block_x_abs_above_null,block_z_abs_obs,block_z_abs_ci_low,block_z_abs_ci_high,block_z_abs_null_low,block_z_abs_null_high,block_z_abs_above_null,block_zz_x_abs_obs,block_zz_x_abs_ci_low,block_zz_x_abs_ci_high,block_zz_x_abs_null_low,block_zz_x_abs_null_high,block_zz_x_abs_above_null,block_zz_z_abs_obs,block_zz_z_abs_ci_low,block_zz_z_abs_ci_high,block_zz_z_abs_null_low,block_zz_z_abs_null_high,block_zz_z_abs_above_null,block_x_z_abs_obs,block_x_z_abs_ci_low,block_x_z_abs_ci_high,block_x_z_abs_null_low,block_x_z_abs_null_high,block_x_z_abs_above_null,lam_max_obs,lam_max_ci_low,lam_max_ci_high,lam_max_null_low,lam_max_null_high,lam_max_above_null,lam_max_null_median,lam_max_excess,lam_max_ratio
4,4,hea,30,11,0.1518560606060606,0.1463626893939394,0.15734848484848485,0.11890151515151515,0.1273125,True,-0.013194444444444444,-0.05001736111111112,0.026388888888888892,-0.03196180555555556,0.029184027777777764,False,False,False,0.01770833333333333,-0.02222222222222222,0.05868055555555555,-0.022916666666666665,0.023272569444444433,False,False,False,-0.010069444444444443,-0.035078125,0.0170225694444444,-0.021875,0.02291666666666666,False,False,False,-0.0026041666666666674,-0.02274305555555555,0.0171875,-0.01580295138888889,0.01545138888888889,False,False,False,-0.011284722222222225,-0.030729166666666665,0.0071180555555555546,-0.01631944444444444,0.015807291666666657,False,False,False,0.004166666666666667,-0.011197916666666667,0.020182291666666668,-0.014459635416666667,0.013020833333333334,False,False,False,0.14652777777777778,0.12430555555555557,0.16805555555555554,0.1020659722222222,0.13680555555555557,True,0.17291666666666666,0.1545138888888889,0.19166666666666668,0.11215277777777778,0.13854166666666667,True,0.17152777777777778,0.1541666666666667,0.1878472222222222,0.11248263888888889,0.14166666666666666,True,0.13350694444444444,0.12343749999999999,0.1444444444444444,0.1105859375,0.12934027777777776,True,0.1498263888888889,0.1373263888888889,0.16233072916666666,0.11197916666666667,0.13108072916666666,True,0.15286458333333333,0.14401041666666667,0.16171875,0.1171875,0.13398763020833332,True,2.1000935711507185,2.027440169980336,2.179485873297074,1.7256466644568627,1.840487376133689,True,1.7806138408283951,0.31947973032232335,1.1794211204006433
6,4,hea,30,17,0.1075265522875817,0.10445210375816992,0.11063189338235294,0.09288143382352941,0.09695720996732028,True,-0.013888888888888892,-0.026531250000000003,-0.000833333333333334,-0.012086805555555555,0.013059027777777774,False,True,True,0.010277777777777778,-0.004629629629629628,0.025925925925925918,-0.011025462962962963,0.010467592592592589,False,False,False,0.006759259259259261,-0.008615740740740738,0.022962962962962963,-0.012224537037037035,0.011944444444444447,False,False,False,0.008055555555555555,0.0013888888888888885,0.014769675925925919,-0.007175925925925924,0.00800925925925926,True,False,True,0.0027314814814814823,-0.005325231481481482,0.011204861111111106,-0.007640046296296294,0.007501157407407408,False,False,False,0.007175925925925924,-0.0024315200617283953,0.016550925925925924,-0.007332175925925927,0.0066753472222222205,True,False,True,0.10305555555555555,0.09541666666666665,0.11152777777777777,0.08319097222222221,0.09861111111111112,True,0.1097222222222222,0.10148148148148146,0.11787037037037036,0.0867546296296296,0.09944444444444443,True,0.12157407407407407,0.11425694444444445,0.1287037037037037,0.09472222222222221,0.10907638888888888,True,0.1039351851851852,0.09930324074074073,0.10912152777777778,0.08763888888888888,0.09680555555555558,True,0.10300925925925927,0.09694328703703702,0.10888888888888888,0.08972222222222222,0.09921412037037036,True,0.10875771604938272,0.10231385030864196,0.11562596450617285,0.09224344135802467,0.10077160493827161,True,2.0296202710946587,1.976431726309038,2.083143965550738,1.748386234401915,1.8417556080182969,True,1.7922746866201904,0.2373455844744683,1.1324270136973515
8,4,hea,30,23,0.08931982872200266,0.08723237812911727,0.09140377964426875,0.07820302206851118,0.08085124341238471,True,0.0007936507936507935,-0.005904017857142858,0.007641369047619033,-0.0072420634920634915,0.007490079365079366,False,False,False,0.006101190476190477,-0.00197172619047619,0.013879278273809506,-0.006139322916666667,0.007033110119047618,False,False,False,-0.007254464285714288,-0.014509858630952383,0.0001860119047619046,-0.007217261904761904,0.0069949776785714285,False,True,True,-0.002678571428571429,-0.008762090773809522,0.003162667410714284,-0.004557291666666666,0.004706566220238095,False,False,False,-0.0020461309523809525,-0.005823102678571427,0.0018415178571428569,-0.004819103422619048,0.005078125,False,False,False,-0.006949869791666666,-0.011914469401041666,-0.002099609375,-0.004396158854166667,0.004575195312499999,False,True,True,0.0847222222222222,0.08085193452380952,0.08859126984126985,0.07192212301587302,0.08050719246031747,True,0.0851934523809524,0.07998418898809523,0.09088541666666665,0.07343656994047619,0.08125372023809525,True,0.10628720238095238,0.09865978422619047,0.1140262276785714,0.08269903273809523,0.09155505952380952,True,0.08404017857142856,0.08069196428571429,0.08766787574404761,0.07429129464285715,0.07942940848214285,True,0.08798363095238096,0.08409551711309522,0.09218796502976193,0.07650623139880952,0.08229213169642857,True,0.09099934895833334,0.08806925455729167,0.09375040690104167,0.07788004557291667,0.08331746419270833,True,2.0793240918940956,2.0108012932541035,2.1563486143947355,1.7583918032739498,1.840342274872993,True,1.797327479093453,0.2819966128006426,1.156897736267226
10,4,hea,30,29,0.07833949096880131,0.0770627565681445,0.0795628078817734,0.06871274630541872,0.07045443349753695,True,-0.003634259259259258,-0.009629629629629627,0.00238483796296296,-0.0051400462962962945,0.0049780092592592575,False,False,False,0.0010925925925925927,-0.002722222222222222,0.004685648148148146,-0.004501851851851852,0.0045578703703703675,False,False,False,-0.008333333333333333,-0.013592592592592592,-0.0026106481481481506,-0.004982870370370372,0.005278703703703705,False,True,True,0.0016759259259259253,-0.0016763888888888905,0.005074074074074074,-0.0033620370370370375,0.0030203703703703686,False,False,False,0.0032500000000000003,0.0006759259259259255,0.0058150462962962965,-0.0032594907407407408,0.003353703703703702,False,False,False,-0.002766666666666667,-0.0054508333333333344,-1.6458333333335056e-05,-0.0030668750000000006,0.0033752083333333334,False,False,False,0.07902777777777777,0.07539351851851851,0.08293981481481481,0.06342592592592593,0.06949131944444445,True,0.07362962962962964,0.07112962962962963,0.07611111111111112,0.0646662037037037,0.07003750000000002,True,0.09646296296296294,0.0923699074074074,0.10055555555555555,0.0744435185185185,0.08066712962962963,True,0.07797222222222223,0.07546273148148148,0.0804074074074074,0.0651849537037037,0.0689636574074074,True,0.0743888888888889,0.07214814814814814,0.07685185185185185,0.06765740740740742,0.07162060185185186,True,0.07594166666666666,0.07342458333333333,0.07837520833333335,0.06850791666666667,0.072441875,True,2.0805103088986,2.018043612416513,2.1521233130067476,1.7668305899489147,1.8408810505375075,True,1.8023899924806734,0.27812031641792645,1.154306402930668
4,4,hva,30,11,0.3781818181818182,0.3567676767676768,0.40061616161616154,0.19898989898989897,0.21545707070707065,True,0.4000000000000001,0.3,0.5037037037037037,-0.05185185185185186,0.05185185185185184,True,False,True,0.26666666666666666,0.16287037037037036,0.3777777777777777,-0.03981481481481482,0.04351851851851851,True,False,True,0.25555555555555554,0.15555555555555556,0.3481481481481481,-0.03891203703703704,0.03796296296296296,True,False,True,-0.02592592592592594,-0.08518518518518521,0.027800925925925795,-0.02731481481481481,0.02685185185185185,False,False,False,0.037037037037037056,-0.06949074074074074,0.1324305555555554,-0.02780092592592593,0.02732638888888888,True,False,True,-0.019444444444444445,-0.075,0.03055555555555556,-0.023611111111111104,0.02291666666666666,False,False,False,0.5259259259259259,0.4592592592592594,0.5925925925925927,0.17407407407407405,0.24074074074074073,True,0.5925925925925924,0.5333333333333333,0.6518518518518519,0.19814814814814816,0.2509490740740741,True,0.5074074074074074,0.4555555555555556,0.562962962962963,0.18055555555555555,0.22872685185185185,True,0.29814814814814816,0.25831018518518517,0.33796296296296297,0.1874884259259259,0.22177083333333333,True,0.3796296296296296,0.32777777777777783,0.4324074074074074,0.18887731481481476,0.22130787037037036,True,0.28055555555555556,0.24722222222222218,0.3166666666666666,0.19097222222222224,0.21944444444444444,True,4.7193937888447595,4.447325431313544,4.982686697847644,2.550181982489164,2.7802824144447085,True,2.659657402377714,2.0597363864670455,1.7744367318233005
6,4,hva,30,17,0.39771241830065357,0.36976919934640523,0.42434844771241825,0.20248978758169933,0.2125020424836601,True,0.41888888888888887,0.3244444444444445,0.5144444444444445,-0.02777777777777778,0.03222222222222222,True,False,True,0.3066666666666666,0.21770370370370368,0.4044444444444445,-0.023333333333333334,0.027787037037037027,True,False,True,0.3266666666666667,0.2496296296296297,0.4037037037037036,-0.024083333333333328,0.025564814814814808,True,False,True,-0.03407407407407407,-0.09148148148148147,0.02852777777777773,-0.01722222222222222,0.019078703703703702,False,True,True,0.014814814814814802,-0.10449074074074077,0.12524999999999964,-0.016481481481481475,0.018893518518518514,False,False,False,0.0037037037037037043,-0.06976851851851852,0.06975308641975307,-0.015432098765432096,0.016666666666666666,False,False,False,0.5122222222222221,0.4499722222222222,0.5744444444444444,0.1866666666666667,0.22222222222222227,True,0.591111111111111,0.5407407407407407,0.6444444444444444,0.2103611111111111,0.24222222222222223,True,0.5103703703703705,0.4659259259259259,0.5577777777777778,0.19036111111111112,0.2200092592592593,True,0.30074074074074075,0.25481481481481477,0.34740740740740744,0.1938842592592593,0.21555555555555556,True,0.402962962962963,0.3588796296296296,0.44851851851851854,0.19462037037037042,0.21611574074074077,True,0.31481481481481477,0.27098765432098765,0.3580246913580246,0.19567129629629623,0.2138888888888889,True,7.433391028826744,6.920559708427405,7.986486755744544,3.3655904775566903,3.628745488476241,True,3.4955754807796584,3.9378155480470856,2.12651423769822
8,4,hva,30,23,0.42419850680720234,0.3955138339920948,0.45310496267017986,0.2035122968818621,0.21111166007905138,True,0.4867724867724867,0.40793650793650793,0.5619179894179894,-0.019047619047619042,0.020634920634920634,True,False,True,0.39999999999999997,0.3238095238095238,0.4809523809523809,-0.018650793650793647,0.019449404761904755,True,False,True,0.4119047619047619,0.35079365079365077,0.47698412698412695,-0.01567460317460317,0.01806051587301587,True,False,True,-0.03333333333333334,-0.10199900793650792,0.035932539682539566,-0.012105654761904764,0.011805555555555554,False,True,True,0.008134920634920639,-0.11648313492063492,0.14108134920634918,-0.012703373015873015,0.012504960317460312,False,False,False,0.009027777777777782,-0.06668402777777777,0.0875,-0.011293402777777777,0.011979166666666664,False,False,False,0.5682539682539682,0.5174603174603175,0.6216931216931216,0.1920634920634921,0.21851851851851853,True,0.6317460317460318,0.584126984126984,0.6817460317460317,0.21349206349206348,0.23829861111111106,True,0.5563492063492064,0.5126984126984128,0.6015873015873014,0.19444444444444448,0.2160763888888889,True,0.3087301587301587,0.2579315476190476,0.36329861111111106,0.19781498015873014,0.212703373015873,True,0.42916666666666675,0.3795585317460317,0.4797619047619048,0.19702132936507932,0.2128000992063492,True,0.325,0.2743055555555555,0.37501736111111106,0.19825954861111109,0.21302083333333327,True,10.553464267480017,9.750130359385727,11.327943128583549,4.128945049613105,4.420458313838129,True,4.265548231659048,6.2879160358209685,2.4741167358399174
10,4,hva,30,29,0.444280240831965,0.41184660645867543,0.4748830049261083,0.20436473727422003,0.2102640941434045,True,0.5404320987654322,0.469429012345679,0.6043287037037036,-0.015123456790123457,0.01635802469135802,True,False,True,0.48246913580246914,0.41333333333333333,0.5555555555555556,-0.015064814814814816,0.01679320987654321,True,False,True,0.47777777777777775,0.4254320987654321,0.5311111111111111,-0.012222222222222221,0.013833333333333326,True,False,True,-0.03580246913580247,-0.1191358024691358,0.04037037037037036,-0.009629629629629627,0.009322530864197534,False,True,True,0.0054320987654320994,-0.1355895061728395,0.14506481481481479,-0.010064814814814816,0.009384259259259257,False,False,False,0.014222222222222218,-0.08135555555555554,0.10112222222222216,-0.009224999999999997,0.009447222222222221,True,False,True,0.6089506172839506,0.562037037037037,0.6558719135802468,0.19598765432098766,0.21481481481481482,True,0.6760493827160494,0.6325925925925926,0.719506172839506,0.21654012345679008,0.2348179012345679,True,0.5962962962962963,0.5597530864197531,0.6328395061728395,0.196787037037037,0.21345987654320986,True,0.3120987654320988,0.2543148148148148,0.37086419753086414,0.198641975308642,0.21098919753086418,True,0.4464197530864198,0.39357407407407413,0.4985462962962962,0.19901234567901235,0.21123611111111115,True,0.32933333333333337,0.2737666666666667,0.3844499999999999,0.19921666666666665,0.21089166666666673,True,13.837327582605557,12.767170752363757,14.832335802949967,4.849565826568492,5.178759039147076,True,5.007747855070076,8.829579727535481,2.7631837670492945
4,6,hea,30,11,0.141969696969697,0.13646401515151516,0.1476010101010101,0.10196906565656566,0.10982386363636366,True,0.00787037037037037,-0.019444444444444445,0.03888888888888889,-0.025925925925925918,0.026851851851851852,False,False,False,-0.009722222222222222,-0.036342592592592586,0.015746527777777745,-0.020138888888888883,0.020144675925925917,False,False,False,-0.0016203703703703705,-0.022685185185185183,0.024311342592592565,-0.018524305555555558,0.018761574074074062,False,False,False,0.017361111111111112,0.000575810185185185,0.03414641203703702,-0.013663194444444443,0.012853009259259255,True,False,True,-0.010069444444444442,-0.029632523148148147,0.01007233796296295,-0.013891782407407408,0.013310185185185185,False,False,False,0.004774305555555553,-0.008943142361111114,0.019707031249999986,-0.012413194444444445,0.012159288194444435,False,False,False,0.15231481481481485,0.12824074074074074,0.17731481481481481,0.08748842592592593,0.11991898148148149,True,0.16064814814814815,0.14212962962962963,0.18287615740740734,0.0955960648148148,0.11875000000000001,True,0.16018518518518518,0.14328703703703705,0.17824074074074073,0.09583333333333334,0.11944444444444444,True,0.12407407407407406,0.11458043981481478,0.13344907407407408,0.09571759259259259,0.11227430555555555,True,0.1427083333333333,0.13159722222222223,0.15428530092592596,0.09687210648148147,0.11377893518518517,True,0.13906249999999998,0.1284700520833333,0.15,0.09990885416666666,0.11458550347222221,True,2.083014805621731,1.9968276213329723,2.170759136177103,1.6304528574308867,1.7230432223305328,True,1.6760149665683974,0.4069998390533336,1.2428378309095034
6,6,hea,30,17,0.09975490196078435,0.09694955065359477,0.10285283905228758,0.08154241557734206,0.08537598720043572,True,-0.00111111111111111,-0.01222222222222222,0.010650462962962954,-0.011666666666666664,0.011851851851851853,False,False,False,-0.008765432098765432,-0.019444444444444438,0.0029645061728394966,-0.009756172839506175,0.009078703703703698,False,False,False,0.0032716049382716045,-0.009569444444444443,0.016481481481481482,-0.009629629629629629,0.01043364197530864,False,False,False,0.0055246913580246915,-0.0009575617283950622,0.012561728395061726,-0.006729166666666667,0.006635802469135804,False,False,False,0.0046604938271604945,-0.003951388888888889,0.013365740740740735,-0.006760802469135804,0.0067901234567901226,False,False,False,-0.00360082304526749,-0.010185185185185186,0.0033179012345679,-0.006327160493827161,0.006199202674897119,False,False,False,0.09499999999999999,0.0885185185185185,0.1023148148148148,0.0746273148148148,0.08879629629629629,True,0.10160493827160492,0.09438271604938271,0.10901234567901234,0.07697530864197531,0.08796604938271606,True,0.11555555555555555,0.10703395061728395,0.1242608024691358,0.08073611111111112,0.09308641975308643,True,0.09055555555555556,0.08611111111111111,0.09500077160493825,0.07820833333333332,0.08620447530864198,True,0.10287037037037038,0.09641975308641974,0.10984645061728394,0.07895061728395061,0.08737731481481481,True,0.09879115226337448,0.09328703703703704,0.10403870884773661,0.08042631172839504,0.08780928497942386,True,1.987114559067532,1.9338318584545449,2.0412984656773228,1.6696078481294419,1.7448379441616262,True,1.7066272406941414,0.2804873183733907,1.1643518348267472
