depth,variant,n_from,n_to,dlog_M2,ci_low_dlog_M2,ci_high_dlog_M2,dlog_E_B2,ci_low_dlog_E_B2,ci_high_dlog_E_B2,dlog_E_Q,ci_low_dlog_E_Q,ci_high_dlog_E_Q,dlog_F,ci_low_dlog_F,ci_high_dlog_F,identity_residual,share_B2_of_M2_change,share_Q_of_M2_change,share_F_of_M2_change
4,hea,4,6,-0.8999898975781107,-1.1356257761946884,-0.657612510640479,0.046708536722091985,-0.09844736541117345,0.18745949659726893,-0.9528997149509555,-1.0371248222770835,-0.8735592577308071,0.00620128065075266,-0.09472232041279516,0.10965982281261763,2.220446049250313e-16,-0.051898956696942396,1.0587893458751327,-0.006890389178190133
4,hea,6,8,-0.6679732694889879,-0.8645008256706507,-0.4612524469752115,-0.07228934617095431,-0.17876868435046106,0.038749780627461504,-0.6199325459044056,-0.751208583132641,-0.4828597149101422,0.024248622586372177,-0.049298927142480346,0.10597862635737336,-2.220446049250313e-16,0.10822191466771869,0.9280798711880576,-0.03630178585577658
4,hea,8,10,-0.24871657447590856,-0.4398605547400637,-0.06032861226044397,-0.017322009011840434,-0.08886744468692105,0.05147931927869623,-0.18778673089523812,-0.37347136103197043,-0.007458752356423894,-0.04360783456882998,-0.10820648017443087,0.017715602670745147,0.0,0.06964557568525975,0.7550229866704268,0.17533143764431336
4,hva,4,6,0.94804719076103,0.6181251653037712,1.3099839251010408,0.4474399984959364,0.2443470638253077,0.6611544025499393,0.45230349441341255,0.3210714544416745,0.5856320340050156,0.04830369785168111,-0.11934024960437534,0.23524497387671411,-1.1102230246251565e-16,0.47195962696409766,0.4770896415507893,0.05095073148511318
4,hva,6,8,0.7983439422038452,0.48498118870036055,1.114617169191382,0.4294455023992172,0.2168999194788174,0.6330761323938762,0.3351263035167964,0.20441786324457234,0.4672098613194866,0.03377213628783138,-0.11120245273693652,0.17911440612854412,2.220446049250313e-16,0.5379204121142623,0.41977684779779656,0.0423027400879409
4,hva,8,10,0.6022590019750687,0.27504033950847606,0.9091166401003843,0.3342715239366696,0.12071629631978746,0.5358899734632643,0.2518825847328583,0.11019300173525619,0.39141499974588057,0.01610489330554097,-0.13230740484888143,0.161431252131152,-2.220446049250313e-16,0.5550295185965642,0.4182296717970607,0.026740809606375388
6,hea,4,6,-1.0686377321144427,-1.2120968098527796,-0.9247268549127922,-0.044470387443864175,-0.15393424261903693,0.06464054032955162,-1.0186185383607333,-1.061536316542659,-0.9756216882983804,-0.00554880630984529,-0.056152426597672535,0.04598699206687966,0.0,0.041614090638437,0.953193498366617,0.005192410994946093
6,hea,6,8,-0.9921462700302883,-1.100502748020588,-0.8764192453546004,0.04356751582756765,-0.04268837474482253,0.13499124199113108,-1.0292905602612312,-1.0876306752738505,-0.9699598608193979,-0.006423225596624145,-0.04449121339798845,0.03376417065505972,-6.661338147750939e-16,-0.04391239189584174,1.0374383206921787,0.006474071203662396
6,hea,8,10,-0.8732270016609798,-1.015289591705366,-0.7359746941513848,-0.053708114649821115,-0.11639445863037845,0.009353619461929917,-0.8194205742853282,-0.9207258364263186,-0.7152569082589048,-9.831272583103214e-05,-0.04946299716725302,0.04657546756563091,5.551115123125783e-16,0.06150532971113125,0.9383820847576799,0.0001125855311895187
6,hva,4,6,0.5782898396903622,0.2631515013843165,0.885875013334824,0.1423250189460331,-0.1193178452081244,0.3918558105784478,0.3272997143362548,0.20561319448944682,0.4527952382623622,0.10866510640807402,-0.010141367871067179,0.22681020931763493,2.220446049250313e-16,0.24611364263677743,0.5659786699892622,0.18790768737396
6,hva,6,8,0.7605220777133095,0.41842804550464413,1.1035216739637947,0.3983139571645613,0.12019738763595071,0.6825682875756081,0.30864641541283344,0.18063846950210105,0.43811146930800954,0.05356170513591505,-0.08123468398068527,0.18908240200277518,-3.3306690738754696e-16,0.5237375335140657,0.4058349184823829,0.07042754800355179
6,hva,8,10,0.6174916762840952,0.29840772077714794,0.939539107607418,0.3555094803729473,0.09293343830329359,0.6143697224339042,0.2398526862081094,0.09883600988474375,0.3818028987523918,0.02212950970303866,-0.10774722339422724,0.14802941124776622,-1.1102230246251565e-16,0.5757316155455101,0.3884306386953759,0.03583774575911421
8,hea,4,6,-1.1573427106501994,-1.2899372641187625,-1.0104584279474156,-0.12884725588970516,-0.23382187171511645,-0.015810256982556167,-0.9963637987094072,-1.032676650155298,-0.9589875437196208,-0.03213165605108761,-0.07540617156652037,0.013283388230381953,4.440892098500626e-16,0.11133025222694692,0.8609064450318664,0.027763302741187115
8,hea,6,8,-1.0694742341347858,-1.1674441530964645,-0.9734396773655938,0.028998572014956744,-0.04441660151484223,0.10253877442785542,-1.1037122131649886,-1.1355316356500476,-1.0713920954667007,0.0052394070152459535,-0.028279308539398144,0.03880040623649292,0.0,-0.027114792567599206,1.0320138418836258,-0.004899049316026468
8,hea,8,10,-1.1003633923787954,-1.1800350700441995,-1.014931161177023,0.01741425442132254,-0.041823433386271494,0.07888133065908008,-1.1197822364505905,-1.14754958927608,-1.0914643072830978,0.002004589650472985,-0.027747867090608783,0.03482462200892604,-4.440892098500626e-16,-0.015825912186769438,1.0176476645863461,-0.0018217523995772058
8,hva,4,6,0.6039895514424227,0.2373003609285233,0.9379239173379912,0.2010825335143802,-0.009033777675964916,0.40782080453106656,0.3565646407343164,0.2027263491057733,0.506182918996761,0.04634237719372626,-0.11401259850556492,0.19292275811812518,-1.1102230246251565e-16,0.33292386107369454,0.5903490215729453,0.07672711735336038
8,hva,6,8,0.7560390831794495,0.32834553672389855,1.162736534039631,0.376233613872736,0.13543618229828078,0.6097610590505158,0.3190314038745137,0.14460820949104908,0.4972572289655023,0.060774065432199584,-0.09815450281624705,0.22278841917759445,2.220446049250313e-16,0.49763778387027535,0.42197739637064513,0.08038481975907927
8,hva,8,10,0.6070023939682008,0.2104874340571025,1.0153541855369883,0.33898138030450986,0.10040515805036265,0.5811020866736011,0.2552100427168793,0.07224615693230452,0.4383836462283611,0.012810970946811329,-0.1322033427008097,0.15809748703504928,2.220446049250313e-16,0.5584514718112762,0.4204432227169257,0.02110530547179763
