n_qubits,depth,circuit_variant,n_seeds_used,n_terms,mean_abs_offdiag_obs,mean_abs_offdiag_ci_low,mean_abs_offdiag_ci_high,mean_abs_offdiag_null_low,mean_abs_offdiag_null_high,mean_abs_offdiag_above_null,block_zz_obs,block_zz_ci_low,block_zz_ci_high,block_zz_null_low,block_zz_null_high,block_zz_above_null,block_zz_below_null,block_zz_outside_null,block_x_obs,block_x_ci_low,block_x_ci_high,block_x_null_low,block_x_null_high,block_x_above_null,block_x_below_null,block_x_outside_null,block_cross_obs,block_cross_ci_low,block_cross_ci_high,block_cross_null_low,block_cross_null_high,block_cross_above_null,block_cross_below_null,block_cross_outside_null,block_zz_abs_obs,block_zz_abs_ci_low,block_zz_abs_ci_high,block_zz_abs_null_low,block_zz_abs_null_high,block_zz_abs_above_null,block_x_abs_obs,block_x_abs_ci_low,block_x_abs_ci_high,block_x_abs_null_low,block_x_abs_null_high,block_x_abs_above_null,block_cross_abs_obs,block_cross_abs_ci_low,block_cross_abs_ci_high,block_cross_abs_null_low,block_cross_abs_null_high,block_cross_abs_above_null,lam_max_obs,lam_max_ci_low,lam_max_ci_high,lam_max_null_low,lam_max_null_high,lam_max_above_null,lam_max_null_median,lam_max_excess,lam_max_ratio
4,4,hea,30,7,0.14662698412698413,0.13908482142857143,0.15426587301587305,0.11418402777777777,0.1281746031746032,True,-0.013194444444444444,-0.04930555555555556,0.025694444444444443,-0.031249999999999997,0.031249999999999997,False,False,False,0.01770833333333333,-0.022925347222222225,0.05834201388888884,-0.021874999999999995,0.021883680555555545,False,False,False,-0.0026041666666666674,-0.023090277777777776,0.01753906249999998,-0.014756944444444446,0.016319444444444442,False,False,False,0.14652777777777778,0.12428819444444442,0.16805555555555557,0.10206597222222219,0.13611111111111113,True,0.17291666666666666,0.15416666666666667,0.19131944444444446,0.11144965277777776,0.13993055555555553,True,0.13350694444444444,0.12309027777777778,0.14374999999999996,0.11110677083333331,0.12968749999999998,True,1.6245716924755995,1.5695240043835712,1.6826718843481623,1.4173790435288447,1.5155351468057952,True,1.4646258961660572,0.1599457963095423,1.1092059048854943
6,4,hea,30,11,0.10535353535353537,0.10161616161616163,0.10916666666666666,0.08901388888888888,0.096010101010101,True,-0.013888888888888892,-0.026249999999999996,0.00027777777777777474,-0.01236111111111111,0.013062499999999998,False,True,True,0.010277777777777778,-0.004354166666666667,0.026483796296296283,-0.011393518518518518,0.011020833333333332,False,False,False,0.008055555555555555,0.0012962962962962958,0.014584490740740733,-0.007733796296296296,0.007871527777777776,True,False,True,0.10305555555555555,0.09499652777777777,0.11083333333333334,0.08416319444444442,0.09874999999999999,True,0.1097222222222222,0.10185185185185186,0.11740740740740742,0.0870347222222222,0.10018749999999997,True,0.1039351851851852,0.09916550925925925,0.10935300925925927,0.08744675925925925,0.09708333333333334,True,1.5894667612353008,1.5412397797128425,1.6367466433076312,1.411612584682937,1.4961414277659362,True,1.4497195281642896,0.13974723307101122,1.0963960478948411
8,4,hea,30,15,0.084484126984127,0.08196378968253969,0.08690500992063492,0.07482043650793652,0.07886954365079366,True,0.0007936507936507935,-0.006001984126984127,0.007889384920634906,-0.0073425099206349195,0.007291666666666666,False,False,False,0.006101190476190477,-0.0015997023809523813,0.014360119047619047,-0.006287202380952381,0.006696428571428571,False,False,False,-0.002678571428571429,-0.008204520089285714,0.00362862723214285,-0.004687965029761904,0.00437220982142857,False,False,False,0.0847222222222222,0.08075396825396824,0.08888888888888888,0.07142857142857144,0.08045634920634921,True,0.0851934523809524,0.07979817708333334,0.09095982142857141,0.07332496279761903,0.08128813244047618,True,0.08404017857142856,0.08041294642857141,0.08761160714285715,0.07412527901785713,0.0798739769345238,True,1.5650179168341816,1.515157284327551,1.6157045242391597,1.4016173528266305,1.4726704050395505,True,1.4373510167732415,0.12766690006094006,1.0888209620135405
10,4,hea,30,19,0.07705165692007797,0.07539461500974659,0.07880153508771928,0.0657504873294347,0.06836269493177388,True,-0.003634259259259258,-0.00976909722222222,0.0023165509259259177,-0.004606481481481481,0.005070023148148148,False,False,False,0.0010925925925925927,-0.0028157407407407406,0.004834259259259254,-0.004445833333333332,0.004444444444444443,False,False,False,0.0016759259259259253,-0.0017687500000000008,0.004972453703703701,-0.0032967592592592593,0.003176620370370369,False,False,False,0.07902777777777777,0.07509259259259259,0.08305671296296294,0.0636105324074074,0.0693755787037037,True,0.07362962962962964,0.07120185185185185,0.07620370370370369,0.06462962962962963,0.06988888888888889,True,0.07797222222222223,0.07551851851851854,0.08038888888888887,0.06528634259259258,0.0689261574074074,True,1.6229497361809204,1.5766968075404684,1.6758890974369953,1.4002319763602094,1.4666936095364402,True,1.4302227344946536,0.19272700168626677,1.1347531381217792
4,4,hva,30,7,0.425,0.3916666666666666,0.46309523809523806,0.25873015873015875,0.2892857142857143,True,0.39166666666666666,0.2805555555555556,0.5027777777777779,-0.0638888888888889,0.0695833333333332,True,False,True,0.31666666666666665,0.2,0.42777777777777776,-0.050034722222222223,0.051388888888888894,True,False,True,-0.0375,-0.10833333333333332,0.034722222222222224,-0.03406249999999999,0.03263888888888889,False,True,True,0.575,0.513888888888889,0.6361111111111111,0.23888888888888887,0.3111111111111111,True,0.5833333333333335,0.5166666666666667,0.65,0.24305555555555552,0.30416666666666664,True,0.3083333333333334,0.2708333333333333,0.35416666666666674,0.25276041666666665,0.2923611111111111,True,3.548444115384302,3.3354042244346833,3.781804189903963,2.321901725023418,2.5760945741647734,True,2.4384346794508565,1.1100094359334456,1.4552139310056988
6,4,hva,30,11,0.4415151515151515,0.4090909090909091,0.4736363636363636,0.263939393939394,0.2831818181818182,True,0.4,0.2816666666666667,0.515,-0.035,0.03833333333333333,True,False,True,0.32444444444444437,0.23988888888888887,0.4133333333333333,-0.03168055555555556,0.03334722222222221,True,False,True,-0.04388888888888889,-0.12555555555555556,0.03277777777777778,-0.02307638888888889,0.02083333333333333,False,True,True,0.5783333333333334,0.51,0.6416666666666667,0.2541666666666667,0.29583333333333334,True,0.5599999999999999,0.5022222222222222,0.6133333333333334,0.25331944444444443,0.2961111111111111,True,0.33666666666666667,0.29444444444444445,0.3811111111111111,0.26222222222222225,0.28500694444444447,True,5.431949407527237,5.028856126071958,5.840238654322745,3.1119603746932314,3.408256290932856,True,3.255982576291708,2.175966831235529,1.6682980575755333
8,4,hva,30,15,0.47087301587301583,0.43801587301587297,0.5027857142857143,0.2671428571428572,0.2804761904761905,True,0.4694444444444445,0.3694246031746031,0.5654761904761905,-0.025793650793650792,0.025793650793650792,True,False,True,0.4071428571428572,0.3178571428571429,0.4976488095238094,-0.022916666666666665,0.026488095238095238,True,False,True,-0.03511904761904761,-0.12679315476190478,0.05686011904761896,-0.016227678571428573,0.016372767857142857,False,True,True,0.6123015873015875,0.5535714285714286,0.6686507936507936,0.2595138888888889,0.28850198412698413,True,0.6166666666666666,0.5642857142857143,0.6690476190476189,0.25892857142857145,0.2883928571428572,True,0.34494047619047624,0.2976190476190476,0.3925892857142856,0.26517857142857143,0.2822991071428571,True,7.756587398151776,7.236010685725434,8.31679955024326,3.858774618275446,4.184324775430572,True,4.014612397268131,3.741975000883645,1.9320887374905706
10,4,hva,30,19,0.495906432748538,0.46139863547758286,0.5293421052631578,0.2683711013645224,0.2789510233918128,True,0.5319444444444444,0.4462962962962963,0.6120486111111111,-0.018055555555555554,0.021296296296296296,True,False,True,0.4844444444444445,0.40148148148148155,0.5600370370370368,-0.017962962962962962,0.020555555555555553,True,False,True,-0.030370370370370364,-0.12722685185185187,0.07131481481481469,-0.012326388888888885,0.011858796296296291,False,True,True,0.6486111111111111,0.5967592592592593,0.6995370370370371,0.26226851851851857,0.2845023148148147,True,0.6651851851851852,0.6177777777777778,0.7155925925925927,0.26185185185185184,0.28537037037037033,True,0.35018518518518515,0.29981481481481487,0.400199074074074,0.2667569444444444,0.28046759259259263,True,10.23433200434832,9.518069900386712,10.966591715422634,4.560870254747837,4.9416664339501155,True,4.74176559534532,5.4925664090029995,2.158337817119153
4,6,hea,30,7,0.13855820105820107,0.13048776455026453,0.14781911375661377,0.09920469576719573,0.11124503968253968,True,0.00787037037037037,-0.021759259259259256,0.040289351851851785,-0.02592592592592592,0.026388888888888885,False,False,False,-0.009722222222222222,-0.034496527777777786,0.015740740740740736,-0.01759259259259259,0.018987268518518518,False,False,False,0.017361111111111112,0.0015017361111111117,0.034377893518518506,-0.014586226851851854,0.013428819444444441,True,False,True,0.15231481481481485,0.12916666666666665,0.1763888888888889,0.08842592592592591,0.12037037037037039,True,0.16064814814814815,0.1421296296296296,0.18171296296296297,0.09583333333333334,0.11852430555555556,True,0.12407407407407406,0.11423611111111111,0.13333333333333333,0.09606192129629629,0.11215567129629629,True,1.63023950134544,1.5722463642849929,1.6981814344407384,1.3801675192631024,1.4593429438015486,True,1.4192865735893716,0.21095292775606844,1.1486330750121656
6,6,hea,30,11,0.0943771043771044,0.0917003367003367,0.09705387205387206,0.0791405723905724,0.0853030303030303,True,-0.00111111111111111,-0.012129629629629629,0.011020833333333322,-0.011393518518518516,0.01203935185185185,False,False,False,-0.008765432098765432,-0.01975308641975309,0.0031496913580246807,-0.010371913580246913,0.009509259259259259,False,False,False,0.0055246913580246915,-0.0012044753086419748,0.01237731481481481,-0.006729166666666667,0.007098765432098764,False,False,False,0.09499999999999999,0.08814814814814813,0.10240740740740738,0.07490509259259258,0.08796527777777778,True,0.10160493827160492,0.09493827160493827,0.10925925925925924,0.07672685185185184,0.08815123456790123,True,0.09055555555555556,0.08632638888888887,0.09521604938271604,0.07811728395061729,0.08629629629629627,True,1.5500130800509906,1.5142438321081644,1.586399263061647,1.39977946282613,1.4700032993971002,True,1.4348764934494547,0.11513658660153592,1.0802414612875473
