n_qubits,depth,circuit_variant,n_seeds_used,n_terms,mean_abs_offdiag_obs,mean_abs_offdiag_ci_low,mean_abs_offdiag_ci_high,mean_abs_offdiag_null_low,mean_abs_offdiag_null_high,mean_abs_offdiag_above_null,block_zz_obs,block_zz_ci_low,block_zz_ci_high,block_zz_null_low,block_zz_null_high,block_zz_above_null,block_zz_below_null,block_zz_outside_null,block_x_obs,block_x_ci_low,block_x_ci_high,block_x_null_low,block_x_null_high,block_x_above_null,block_x_below_null,block_x_outside_null,block_cross_obs,block_cross_ci_low,block_cross_ci_high,block_cross_null_low,block_cross_null_high,block_cross_above_null,block_cross_below_null,block_cross_outside_null,block_zz_abs_obs,block_zz_abs_ci_low,block_zz_abs_ci_high,block_zz_abs_null_low,block_zz_abs_null_high,block_zz_abs_above_null,block_x_abs_obs,block_x_abs_ci_low,block_x_abs_ci_high,block_x_abs_null_low,block_x_abs_null_high,block_x_abs_above_null,block_cross_abs_obs,block_cross_abs_ci_low,block_cross_abs_ci_high,block_cross_abs_null_low,block_cross_abs_null_high,block_cross_abs_above_null,lam_max_obs,lam_max_ci_low,lam_max_ci_high,lam_max_null_low,lam_max_null_high,lam_max_above_null,lam_max_null_median,lam_max_excess,lam_max_ratio
4,4,hea,30,7,0.14662698412698413,0.13878720238095238,0.15426587301587302,0.11388888888888889,0.12808035714285715,True,-0.013194444444444444,-0.04861111111111111,0.025694444444444443,-0.032638888888888884,0.02987847222222221,False,False,False,0.01770833333333333,-0.020138888888888887,0.0579861111111111,-0.021875,0.02467013888888888,False,False,False,-0.0026041666666666674,-0.02205295138888889,0.016844618055555538,-0.015976562500000003,0.014756944444444442,False,False,False,0.14652777777777778,0.125,0.16805555555555557,0.10069444444444445,0.1361111111111111,True,0.17291666666666666,0.1545138888888889,0.19131944444444443,0.11110243055555558,0.13888888888888887,True,0.13350694444444444,0.12361111111111113,0.14409722222222224,0.11059027777777779,0.12951822916666667,True,1.6245716924755995,1.5686062864752568,1.6870111295429298,1.4156243237953785,1.5109013694522622,True,1.4640544743429316,0.16051721813266795,1.1096388289818986
6,4,hea,30,11,0.10535353535353537,0.10156565656565658,0.10909090909090909,0.08866098484848486,0.09570707070707068,True,-0.013888888888888892,-0.02611458333333333,-0.0008333333333333337,-0.0125,0.013888888888888886,False,True,True,0.010277777777777778,-0.005,0.026296296296296293,-0.010569444444444444,0.011581018518518508,False,False,False,0.008055555555555555,0.0013888888888888887,0.015092592592592593,-0.0076388888888888895,0.007502314814814814,True,False,True,0.10305555555555555,0.09541666666666666,0.11125347222222222,0.08333333333333334,0.09902777777777778,True,0.1097222222222222,0.10166666666666666,0.11749999999999998,0.0869421296296296,0.09935185185185183,True,0.1039351851851852,0.09888888888888893,0.1089814814814815,0.0875914351851852,0.09666782407407408,True,1.5894667612353008,1.5405909098165955,1.6363728957721746,1.4073888365388523,1.4909473414963486,True,1.4474381871718518,0.14202857406344904,1.098124103206755
8,4,hea,30,15,0.084484126984127,0.08213244047619048,0.08689558531746032,0.07476165674603173,0.07880034722222222,True,0.0007936507936507935,-0.005854414682539684,0.007788938492063485,-0.0074429563492063484,0.007740575396825396,False,False,False,0.006101190476190477,-0.0014518229166666668,0.013989955357142848,-0.0060658482142857155,0.006215587797619046,False,False,False,-0.002678571428571429,-0.008539341517857141,0.003087797619047619,-0.004650297619047618,0.004688895089285713,False,False,False,0.0847222222222222,0.08090277777777777,0.08859126984126985,0.07182415674603174,0.08070560515873017,True,0.0851934523809524,0.07983537946428572,0.09081101190476192,0.07313988095238094,0.0812881324404762,True,0.08404017857142856,0.08054268973214285,0.08764880952380952,0.07412527901785713,0.0796502976190476,True,1.5650179168341816,1.5155667230177983,1.6153116272539747,1.401523078582448,1.4756499589652918,True,1.4377401212480039,0.1272777955861777,1.0885262876824335
10,4,hea,30,19,0.077046783625731,0.0754141081871345,0.07880129142300193,0.06567714424951268,0.06849439571150097,True,-0.0035879629629629616,-0.009699074074074072,0.0022222222222222235,-0.005093750000000001,0.005069444444444443,False,False,False,0.0010925925925925927,-0.0026481481481481477,0.00476018518518518,-0.004741203703703704,0.004425925925925927,False,False,False,0.0016851851851851847,-0.0016113425925925933,0.005139351851851849,-0.003167361111111111,0.003213888888888888,False,False,False,0.07900462962962963,0.07525347222222221,0.0828940972222222,0.06340219907407407,0.06972337962962961,True,0.07362962962962964,0.0710736111111111,0.07624166666666668,0.06473842592592592,0.06996296296296296,True,0.07797222222222223,0.07549050925925926,0.0803611111111111,0.06517569444444445,0.06899120370370372,True,1.6227534374508144,1.5760572475215324,1.676120961543114,1.4008520049235451,1.4635104744697292,True,1.4311022552450403,0.19165118220577404,1.133918580243561
4,4,hva,30,7,0.4367063492063492,0.4007886904761905,0.47778273809523814,0.2561507936507937,0.2914781746031746,True,0.40694444444444444,0.27361111111111114,0.5291666666666666,-0.06805555555555555,0.06812499999999995,True,False,True,0.31666666666666665,0.20000000000000004,0.4222222222222222,-0.05277777777777778,0.05138888888888889,True,False,True,-0.03611111111111111,-0.10694444444444444,0.03611111111111111,-0.03263888888888889,0.038194444444444434,False,True,True,0.6236111111111111,0.5569444444444444,0.6902777777777777,0.23194444444444443,0.32083333333333325,True,0.5833333333333335,0.5222222222222223,0.6445833333333326,0.24305555555555552,0.30833333333333335,True,0.3166666666666667,0.275,0.36944444444444446,0.2513888888888889,0.2951388888888889,True,3.680462054123929,3.436995380300221,3.946119005509747,2.422606175290476,2.681140991615794,True,2.540665105054937,1.1397969490689919,1.4486214837214233
6,4,hva,30,11,0.46,0.4268939393939393,0.495001893939394,0.2633333333333333,0.28424242424242424,True,0.42916666666666664,0.3074895833333333,0.5554270833333332,-0.039999999999999994,0.04083333333333334,True,False,True,0.32444444444444437,0.23555555555555557,0.41777777777777775,-0.03222222222222222,0.03279166666666665,True,False,True,-0.04527777777777777,-0.13111805555555553,0.0413958333333333,-0.022784722222222224,0.022229166666666668,False,True,True,0.6308333333333332,0.5604166666666667,0.6991770833333334,0.24833333333333335,0.3008333333333333,True,0.5599999999999999,0.5066666666666666,0.6133333333333333,0.2538888888888889,0.29500000000000004,True,0.35305555555555557,0.31277777777777777,0.39528472222222216,0.2586041666666667,0.28806250000000005,True,5.741215094704538,5.340762979073019,6.15221246985367,3.231933741210863,3.543346631554399,True,3.3699243602938944,2.3712907344106435,1.703662895924418
8,4,hva,30,15,0.4882936507936508,0.45519742063492064,0.5199999999999999,0.2656746031746032,0.281468253968254,True,0.514484126984127,0.4029712301587301,0.622237103174603,-0.02600198412698412,0.027986111111111104,True,False,True,0.4071428571428572,0.32023809523809527,0.4952380952380952,-0.022023809523809522,0.02470238095238095,True,False,True,-0.035416666666666666,-0.12590029761904764,0.06191220238095233,-0.015773809523809523,0.017113095238095233,False,True,True,0.6827380952380953,0.6160565476190476,0.7470436507936508,0.2573412698412698,0.2902876984126984,True,0.6166666666666666,0.5666666666666665,0.6655059523809524,0.25863095238095235,0.2880952380952381,True,0.3511904761904762,0.3071428571428571,0.39435267857142864,0.26279017857142856,0.28378348214285715,True,8.099026915701272,7.5175939227148305,8.681074291279222,3.9970971290127104,4.348519695493633,True,4.176955481939968,3.922071433761303,1.9389785097589105
10,4,hva,30,19,0.5136695906432749,0.47901985867446384,0.5452052875243664,0.267323343079922,0.27921783625730995,True,0.5760416666666669,0.48164641203703695,0.6678356481481482,-0.02094907407407407,0.021649305555555554,True,False,True,0.4844444444444445,0.40592592592592597,0.5614814814814816,-0.017597222222222226,0.01759259259259259,True,False,True,-0.026203703703703708,-0.12224537037037035,0.07798379629629618,-0.013245370370370371,0.013706018518518518,False,True,True,0.714236111111111,0.6556712962962963,0.7730381944444444,0.26168981481481485,0.2866898148148148,True,0.6651851851851852,0.6177777777777779,0.7140740740740742,0.2612962962962963,0.28556018518518517,True,0.3576851851851852,0.31221759259259263,0.4057523148148148,0.26536342592592593,0.2820393518518519,True,10.667211493156824,9.9809492958408,11.404694979102487,4.716717463510387,5.0846213981099995,True,4.9070196472347485,5.760191845922075,2.1738676956730987
4,6,hea,30,7,0.13855820105820107,0.13042328042328044,0.1471577380952381,0.09880787037037032,0.11097883597883595,True,0.00787037037037037,-0.01990740740740741,0.0375,-0.023171296296296297,0.025462962962962965,False,False,False,-0.009722222222222222,-0.03425925925925925,0.01644097222222219,-0.018061342592592594,0.021527777777777778,False,False,False,0.017361111111111112,0.0018518518518518532,0.033101851851851855,-0.01296296296296296,0.013660300925925921,True,False,True,0.15231481481481485,0.12916666666666668,0.1764004629629629,0.0875,0.11899305555555556,True,0.16064814814814815,0.1428240740740741,0.1817129629629629,0.09513888888888888,0.11736689814814814,True,0.12407407407407406,0.11434606481481481,0.13368344907407406,0.096640625,0.11296296296296296,True,1.63023950134544,1.5730982317768807,1.7032865244198723,1.3789902343453162,1.4617856000745655,True,1.4192575322512795,0.21098196909416056,1.1486565787390912
6,6,hea,30,11,0.0943771043771044,0.09166624579124577,0.09715530303030304,0.07912457912457913,0.08489941077441078,True,-0.00111111111111111,-0.012777777777777775,0.011111111111111115,-0.011113425925925926,0.012129629629629629,False,False,False,-0.008765432098765432,-0.01944444444444444,0.002532407407407397,-0.009138888888888887,0.00925925925925926,False,False,False,0.0055246913580246915,-0.0010185185185185189,0.01243904320987654,-0.006944444444444445,0.006391975308641973,False,False,False,0.09499999999999999,0.08796296296296297,0.10250231481481481,0.0748125,0.08898148148148145,True,0.10160493827160492,0.09475308641975308,0.10883024691358022,0.07697067901234567,0.08808641975308641,True,0.09055555555555556,0.08614120370370368,0.09521604938271602,0.0782716049382716,0.08595679012345678,True,1.5500130800509906,1.5158547899197397,1.5860554661728734,1.3995851129236963,1.4703687768536786,True,1.4341216477637828,0.11589143228720777,1.0808100431842143
