depth,variant,n_points,slope,slope_ci_low,slope_ci_high,intercept,r2,factor_per_qubit,factor_ci_low,factor_ci_high
4,hea,4,-0.010049890077653115,-0.028789190876499733,0.008772750182031505,0.0963018805752789,0.44316076187897957,0.9900004413181882,0.9716212695066598,1.0088113435289534
4,hva,4,0.20314582884473417,0.17136430364700617,0.2351072170812153,-0.3094815634633298,0.9957778250274344,1.22525113217712,1.186923070672115,1.2650443958297197
6,hea,4,-0.006013272148539258,-0.02021122086641513,0.008966925802704279,0.06856644612025826,0.29379074320724197,0.9940047713874134,0.9799916567575976,1.0090072491171538
6,hva,4,0.1543379663307592,0.11524529242929836,0.19151712940060467,-0.1353229115609294,0.9678488085821639,1.1668851880498319,1.1221486583862168,1.211085578132352
8,hea,4,-0.010915235817265986,-0.02624496418919767,0.0050049413728098366,0.08188526924035132,0.2599578612272727,0.9891441192148568,0.9740964416348136,1.005017487013215
8,hva,4,0.15625630984738062,0.12183983173379516,0.18879610046354006,-0.06611315559949882,0.9858482733900573,1.1691258231517434,1.1295731655151096,1.2077946586031232
