zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_cross_obs,block_cross_abs_obs,lam_max_ratio
1e-08,4,4,hea,0.2291666666666667,0.14662698412698413,-0.013194444444444444,0.01770833333333333,-0.0026041666666666674,0.13350694444444444,1.1092059048854943
1e-09,4,4,hea,0.2291666666666667,0.14662698412698413,-0.013194444444444444,0.01770833333333333,-0.0026041666666666674,0.13350694444444444,1.109866736906432
1e-10,4,4,hea,0.2291666666666667,0.14662698412698413,-0.013194444444444444,0.01770833333333333,-0.0026041666666666674,0.13350694444444444,1.1111590570562146
1e-12,4,4,hea,0.2291666666666667,0.14662698412698413,-0.013194444444444444,0.01770833333333333,-0.0026041666666666674,0.13350694444444444,1.1096388289818986
1e-08,6,4,hea,0.2916666666666667,0.10535353535353537,-0.013888888888888892,0.010277777777777778,0.008055555555555555,0.1039351851851852,1.0963960478948411
1e-09,6,4,hea,0.2916666666666667,0.10535353535353537,-0.013888888888888892,0.010277777777777778,0.008055555555555555,0.1039351851851852,1.0963758662207692
1e-10,6,4,hea,0.2916666666666667,0.10535353535353537,-0.013888888888888892,0.010277777777777778,0.008055555555555555,0.1039351851851852,1.0988966970789844
1e-12,6,4,hea,0.2916666666666667,0.10535353535353537,-0.013888888888888892,0.010277777777777778,0.008055555555555555,0.1039351851851852,1.098124103206755
1e-08,8,4,hea,0.3348214285714286,0.084484126984127,0.0007936507936507935,0.006101190476190477,-0.002678571428571429,0.08404017857142856,1.0888209620135405
1e-09,8,4,hea,0.3348214285714286,0.084484126984127,0.0007936507936507935,0.006101190476190477,-0.002678571428571429,0.08404017857142856,1.0883461172783033
1e-10,8,4,hea,0.3348214285714286,0.084484126984127,0.0007936507936507935,0.006101190476190477,-0.002678571428571429,0.08404017857142856,1.0878269465082648
1e-12,8,4,hea,0.3348214285714286,0.084484126984127,0.0007936507936507935,0.006101190476190477,-0.002678571428571429,0.08404017857142856,1.0885262876824335
1e-08,10,4,hea,0.36393518518518514,0.07705165692007797,-0.003634259259259258,0.0010925925925925927,0.0016759259259259253,0.07797222222222223,1.1347531381217792
1e-09,10,4,hea,0.3638888888888889,0.077046783625731,-0.0035879629629629616,0.0010925925925925927,0.0016851851851851847,0.07797222222222223,1.1334351542100227
1e-10,10,4,hea,0.3638888888888889,0.077046783625731,-0.0035879629629629616,0.0010925925925925927,0.0016851851851851847,0.07797222222222223,1.1336252843464927
1e-12,10,4,hea,0.3638888888888889,0.077046783625731,-0.0035879629629629616,0.0010925925925925927,0.0016851851851851847,0.07797222222222223,1.133918580243561
1e-08,4,6,hea,0.15277777777777776,0.13855820105820107,0.00787037037037037,-0.009722222222222222,0.017361111111111112,0.12407407407407406,1.1486330750121656
1e-09,4,6,hea,0.15277777777777776,0.13855820105820107,0.00787037037037037,-0.009722222222222222,0.017361111111111112,0.12407407407407406,1.1481198126058965
1e-10,4,6,hea,0.15277777777777776,0.13855820105820107,0.00787037037037037,-0.009722222222222222,0.017361111111111112,0.12407407407407406,1.1481764293625696
1e-12,4,6,hea,0.15277777777777776,0.13855820105820107,0.00787037037037037,-0.009722222222222222,0.017361111111111112,0.12407407407407406,1.1486565787390912
1e-08,6,6,hea,0.1944444444444445,0.0943771043771044,-0.00111111111111111,-0.008765432098765432,0.0055246913580246915,0.09055555555555556,1.0802414612875473
1e-09,6,6,hea,0.1944444444444445,0.0943771043771044,-0.00111111111111111,-0.008765432098765432,0.0055246913580246915,0.09055555555555556,1.0816105194518737
1e-10,6,6,hea,0.1944444444444445,0.0943771043771044,-0.00111111111111111,-0.008765432098765432,0.0055246913580246915,0.09055555555555556,1.0807497427930048
1e-12,6,6,hea,0.1944444444444445,0.0943771043771044,-0.00111111111111111,-0.008765432098765432,0.0055246913580246915,0.09055555555555556,1.0808100431842143
1e-08,8,6,hea,0.2232142857142857,0.07864417989417988,0.003802910052910053,0.0010664682539682539,0.0012028769841269838,0.0771577380952381,1.0687125570293747
1e-09,8,6,hea,0.2232142857142857,0.07864417989417988,0.003802910052910053,0.0010664682539682539,0.0012028769841269838,0.0771577380952381,1.0683222874774556
1e-10,8,6,hea,0.2232142857142857,0.07864417989417988,0.003802910052910053,0.0010664682539682539,0.0012028769841269838,0.0771577380952381,1.0681102920369159
1e-12,8,6,hea,0.2232142857142857,0.07864417989417988,0.003802910052910053,0.0010664682539682539,0.0012028769841269838,0.0771577380952381,1.069079218037061
1e-08,10,6,hea,0.24259259259259264,0.06674463937621833,-7.716049382716106e-05,0.0014320987654320987,0.0006172839506172842,0.06687654320987654,1.0508311110374886
1e-09,10,6,hea,0.24259259259259264,0.06674463937621833,-7.716049382716106e-05,0.0014320987654320987,0.0006172839506172842,0.06687654320987654,1.0507440686952023
1e-10,10,6,hea,0.24259259259259264,0.06674463937621833,-7.716049382716106e-05,0.0014320987654320987,0.0006172839506172842,0.06687654320987654,1.0514462870439834
1e-12,10,6,hea,0.24259259259259264,0.06674463937621833,-7.716049382716106e-05,0.0014320987654320987,0.0006172839506172842,0.06687654320987654,1.0511849831130946
1e-08,4,8,hea,0.11458333333333336,0.1305059523809524,0.017708333333333333,0.027777777777777787,0.0008680555555555562,0.1253472222222222,1.163547018983417
1e-09,4,8,hea,0.11458333333333336,0.1305059523809524,0.017708333333333333,0.027777777777777787,0.0008680555555555562,0.1253472222222222,1.1631773183375356
1e-10,4,8,hea,0.11458333333333336,0.1305059523809524,0.017708333333333333,0.027777777777777787,0.0008680555555555562,0.1253472222222222,1.1628527073416328
1e-12,4,8,hea,0.11458333333333336,0.1305059523809524,0.017708333333333333,0.027777777777777787,0.0008680555555555562,0.1253472222222222,1.1628063031686469
1e-08,6,8,hea,0.14583333333333334,0.08962121212121214,-0.016805555555555553,-0.007685185185185185,-0.00673611111111111,0.09004629629629628,1.1126725337093037
