n_qubits,depth,circuit_variant,MGR_bc,ci_low_MGR_bc,ci_high_MGR_bc,one_over_S
4,4,hea,0.011335988330129856,-0.01632032734155418,0.047823555965527224,0.03333333333333333
6,4,hea,-0.007718292215384445,-0.03248765737889316,0.02720240462642168,0.03333333333333333
8,4,hea,0.002015402314773335,-0.021345188949481852,0.03476857097902449,0.03333333333333333
10,4,hea,0.004718251299734454,-0.015857459732611646,0.0352352713243834,0.03333333333333333
4,4,hva,-0.012744434780339951,-0.054460957422778004,0.05257242825343418,0.03333333333333333
6,4,hva,-0.01777662682191624,-0.056085487530173075,0.05018295170219547,0.03333333333333333
8,4,hva,-0.017941654925870253,-0.056616059827155694,0.047665815565155485,0.03333333333333333
10,4,hva,-0.01754596281660729,-0.0556698609772214,0.05000051190317769,0.03333333333333333
4,6,hea,-0.005677153231841782,-0.029405466814521476,0.026293449857428985,0.03333333333333333
6,6,hea,0.00542978814804835,-0.017191889993189033,0.03679649444003726,0.03333333333333333
8,6,hea,0.0003570682610017727,-0.021442993038143846,0.030925643779133344,0.03333333333333333
10,6,hea,0.0038572059211666935,-0.01678400731899923,0.03222436061036717,0.03333333333333333
4,6,hva,-0.01391683809858918,-0.05399493416230122,0.05435234070896171,0.03333333333333333
6,6,hva,-0.014318391701114284,-0.05134356223727958,0.04877238918080736,0.03333333333333333
8,6,hva,-0.01109967154308076,-0.04992807953885349,0.05197908850025768,0.03333333333333333
10,6,hva,-0.009384903748288664,-0.0496185646164775,0.05604299379770032,0.03333333333333333
4,8,hea,0.005324652779165887,-0.015991529227356683,0.03540191197125859,0.03333333333333333
6,8,hea,-0.003674711154177748,-0.02293812099209423,0.023189393062951105,0.03333333333333333
8,8,hea,-0.0020138228614068948,-0.02157084430076988,0.024991638256636053,0.03333333333333333
10,8,hea,0.00022699415540349904,-0.017757069577370586,0.024893914751295126,0.03333333333333333
4,8,hva,-0.0008379290459196179,-0.039647289940631526,0.05755712493319282,0.03333333333333333
6,8,hva,-0.008723194845622837,-0.04189413578776895,0.040661544234000126,0.03333333333333333
8,8,hva,-0.011207522009116965,-0.0443096597494392,0.039712720918543006,0.03333333333333333
10,8,hva,-0.012847862019808285,-0.045026677817721975,0.04028349663445416,0.03333333333333333
