n_qubits,depth,circuit_variant,mean_B2,bootstrap_sd_B2,ci_low_B2,ci_high_B2,B2_minus_random_baseline,ci_contains_random_baseline_1,mean_N_eff,ratio_of_means_B2_over_Neff,mean_organization_fraction,ci_low_organization_fraction,ci_high_organization_fraction,n_params,n_unique_seeds
4,4,hea,1.0318944893478386,0.06075879710361993,0.9198798001664424,1.1555862773412078,0.03189448934783856,True,3.907624577077003,0.2640720644969739,0.31151121205670484,0.2798314085883072,0.34318838934559315,32,30
6,4,hea,1.0812361387738596,0.049139391686097315,0.9898107580780524,1.178609290961998,0.0812361387738596,True,4.899015102349248,0.22070479804305346,0.29060168600369113,0.2696259567778139,0.31254743790464895,48,30
8,4,hea,1.0058325568889128,0.02864777361564187,0.9533598947688782,1.0656640982849577,0.005832556888912821,True,5.57038350318294,0.18056791894385296,0.268936291582785,0.2568441661292553,0.28049679491067525,64,30
10,4,hea,0.9885595497644786,0.021598361513631342,0.9454048029284923,1.0307278099263864,-0.011440450235521427,True,5.5228646173868645,0.1789939855944204,0.2734916806368733,0.2627935737839348,0.28462624854068747,80,30
4,4,hva,1.613924204379555,0.11567053044051945,1.3987721909026822,1.8489324239934017,0.613924204379555,False,4.810824316946377,0.33547768491450075,0.3618426378012011,0.31358362611724794,0.4110191151636844,8,30
6,4,hva,2.5246655686351525,0.19991025963545042,2.156326615184056,2.9381931512496897,1.5246655686351525,False,7.492915870655015,0.33694033300476006,0.3525217477388046,0.3073376111782428,0.4039312722558999,8,30
8,4,hva,3.8789096972771526,0.2859394601729133,3.3437005204364016,4.456071050468198,2.8789096972771526,False,10.22932298456221,0.3791951532991077,0.3931975108796013,0.3469100098519375,0.44372865215896845,8,30
10,4,hva,5.418535804726382,0.3895991024100763,4.667923755012954,6.195258194102702,4.418535804726382,False,13.037652986382952,0.4156066901294058,0.4291061200934248,0.37829178416453413,0.47916940744259945,8,30
4,6,hea,1.0528171827028165,0.04558073605667488,0.965755780372828,1.1468077614903223,0.052817182702816545,True,4.282766819004617,0.24582640783312784,0.2826376107850353,0.2614924888989204,0.30508573499242664,48,30
6,6,hea,1.0070237667208468,0.03641363094048803,0.9378927868300487,1.0787474434223552,0.0070237667208468135,True,5.944090336295263,0.16941595933895048,0.22100766248841708,0.2075699132602905,0.23483897746495588,72,30
8,6,hea,1.0518670529385465,0.027421567183904764,1.0000315535818423,1.1075984860052457,0.05186705293854654,False,7.446945464123271,0.14124812085788288,0.2045142531255607,0.19455617604627973,0.21452176087627292,96,30
10,6,hea,0.9968635451295673,0.018887130512997927,0.9612967770277371,1.0357386772025938,-0.003136454870432681,True,8.545358248630624,0.11665555920833544,0.19177442285171273,0.18438713697976142,0.19887745852234767,120,30
4,6,hva,1.7337119397896676,0.13293686837245838,1.477110004815505,1.996392869202027,0.7337119397896676,False,4.753181414981797,0.3647476896894976,0.39508511093005705,0.33958801328465293,0.4528915751672033,12,30
6,6,hva,1.9988854671721363,0.20688440882207287,1.6109237453811922,2.4133155801320165,0.9988854671721363,False,7.540980606508956,0.26506970001312685,0.28325955740735603,0.2328168930628577,0.3408798234278146,12,30
8,6,hva,2.9769631864857478,0.2992242715041844,2.421044780809421,3.5748503285991977,1.9769631864857478,False,10.329808324408694,0.2881915223394193,0.30025039988071434,0.24948142507683058,0.3547909686406003,12,30
10,6,hva,4.24785095054638,0.38009201113162444,3.526816756973059,5.013349296474597,3.24785095054638,False,13.166446084003661,0.3226269961874701,0.3338927403967353,0.28493025870197347,0.3849796872740817,12,30
4,8,hea,1.086825662100511,0.052319571017361705,0.985648904413821,1.190450338268128,0.08682566210051101,True,4.394063495328064,0.24733954419549595,0.27736332341572606,0.25369141883214635,0.30030406037701496,64,30
6,8,hea,0.9554373883620441,0.026729462045566345,0.9044147356042835,1.008128736245313,-0.04456261163795594,True,6.357173375258468,0.15029280026882988,0.19038027564912233,0.1811940046052472,0.19938301865240027,96,30
8,8,hea,0.9835493415662233,0.024347579490374305,0.9365516716493929,1.0304703793810028,-0.016450658433776688,True,8.184382421350783,0.1201739228363054,0.1668577993486925,0.16084803973259745,0.17309464474352018,128,30
10,8,hea,1.0008271232484638,0.017744001295035675,0.966447243563289,1.0365528732864413,0.0008271232484637903,True,9.94610342406009,0.10062504687287045,0.15423365690113786,0.1480912242613159,0.16074094313109852,160,30
4,8,hva,1.8294346069842398,0.11560708678373131,1.6115616369994243,2.0629235174228815,0.8294346069842398,False,4.859366667633981,0.37647593444003047,0.3974485888127243,0.3574498971065835,0.4385410421082585,16,30
6,8,hva,2.2368966802557155,0.18594514275331755,1.8823595468899528,2.6240224574949678,1.2368966802557155,False,7.386485206471547,0.3028364124111283,0.3164911713104316,0.27181047966338606,0.3684581921374302,16,30
8,8,hva,3.2586829431277513,0.29295623314963415,2.7191573577239545,3.8631268027887655,2.2586829431277513,False,10.174374726254287,0.3202833619562822,0.33473402069730074,0.28310886580698896,0.3931922629500845,16,30
10,8,hva,4.573617598825371,0.3813102987946538,3.858860716454444,5.334926117686996,3.573617598825371,False,13.026882140794662,0.35109073294696846,0.36428697874976823,0.30986239012534084,0.4204298587158921,16,30
