n_qubits,depth,circuit_variant,E_Q,E_B2,M2,ci_low_M2,ci_high_M2,F,ci_low_F,ci_high_F,mean_grad_ratio,ci_low_mgr,ci_high_mgr,param_avg_var_plugin,var_plugin_over_M2,n_params,n_unique_seeds
4,4,hea,0.18407868548661716,1.0318944893478386,0.18583441856346827,0.15422234109284302,0.22029148114709668,0.9783344704509099,0.8999667833106839,1.0470923829298953,0.04429145538579219,0.04981844503604759,0.11077838656854333,0.17760354170451978,0.9557085446142077,32,30
6,4,hea,0.070984645263672,1.0812361387738596,0.07555539961210873,0.06449296144072973,0.0880116318766401,0.9844202473750097,0.913789949926365,1.0504649384844031,0.02587231752512838,0.0360218270669401,0.09033115266407114,0.07360060632260627,0.9741276824748714,48,30
8,4,hea,0.038188370949370484,1.0058325568889128,0.03874078369513777,0.03421384019697434,0.04408151039266088,1.0085828534300245,0.9710957347795253,1.046701721149685,0.03528155557094756,0.04624609636628508,0.09796966489292505,0.0373739485823357,0.9647184444290522,64,30
10,4,hea,0.031650195102947774,0.9885595497644786,0.030210100222171788,0.0260546934554124,0.03493137243447671,0.9655459325285161,0.9165486981083488,1.0122976633494505,0.03789430958974326,0.05061597169970411,0.09624292979799728,0.02906530933161563,0.9621056904102564,80,30
4,4,hva,4.934218026920336,1.613924204379555,7.69395162602636,5.838891430509276,9.693396702849622,0.9661576144499919,0.829993160979472,1.0869769832540737,0.021013713045671366,0.014216597944388131,0.1207406398630809,7.532273134369765,0.9789862869543287,8,30
6,4,hva,7.756240151492906,2.5246655686351525,19.85551312445387,15.817024710526296,25.038748922858282,1.0139721118954725,0.9108251666323636,1.1209848535148996,0.016149260738814317,0.012905483195163218,0.11026157905456463,19.53486126590412,0.9838507392611858,8,30
8,4,hva,10.844130910634293,3.878909697277153,44.11613771262928,35.57222264052724,55.34758357870159,1.0488009277160197,0.945163658568922,1.164495789786516,0.015989733571658723,0.013207469219533906,0.11209773562528773,43.41073242439373,0.9840102664283411,8,30
10,4,hva,13.95037777392095,5.418535804726382,80.56663870807017,64.6897137500047,99.44297089332042,1.0658285003440724,0.9597508027622191,1.178408029879249,0.01637223594394616,0.014150307934911024,0.10976111257257869,79.247582689931,0.983627764056054,8,30
4,6,hea,0.1904706457806603,1.0528171827028165,0.2018842403101213,0.1787801844101349,0.2268805209380576,1.0067494461855435,0.9629292654324176,1.0515530922391123,0.027845418542552944,0.037988670276495634,0.09004940384466976,0.19626268914154057,0.9721545814574467,48,30
6,6,hea,0.06877769927447273,1.0070237667208468,0.06934241258804341,0.06393164819200771,0.07493806649735045,1.0011786584106521,0.9754333316584645,1.0258233535149386,0.038582128543113374,0.04989353433836436,0.09897932410057908,0.06666703471208191,0.9614178714568865,72,30
8,6,hea,0.024571543220096456,1.0518670529385465,0.025710782674213634,0.023925314247846205,0.027679691653821607,0.9947684711039336,0.9653181372972687,1.0266008623432699,0.03367849931896839,0.04548341621538855,0.0940872749597534,0.02484488209742998,0.9663215006810314,96,30
10,6,hea,0.010828357845802501,0.9968635451295673,0.010736868377058928,0.009585834617180187,0.012073399360883147,0.9946706775112247,0.9593470166898744,1.0298512603369647,0.0370619657237945,0.04960741723834606,0.09518141323644144,0.010338938929287474,0.9629380342762053,120,30
4,6,hva,4.742964691623345,1.7337119397896676,7.364722313126561,6.036258598003754,8.771530823660022,0.8956318816493654,0.8264715292286373,0.959468734322422,0.019880389838030497,0.015603937178627826,0.11509383380829821,7.218308762492764,0.9801196101619697,12,30
6,6,hva,6.57952212217761,1.9988854671721363,13.131201410552693,10.116317190568086,16.568517837525693,0.9984405268508189,0.9099715454020303,1.0901687515419163,0.019492221355589583,0.01710227876424529,0.10869979139689356,12.875245125993374,0.9805077786444107,12,30
8,6,hva,8.958551332764054,2.9769631864857478,28.092798518857723,21.964485208738147,34.744731834803424,1.0533768114193698,0.957518949179359,1.1565203522886536,0.022603650841688642,0.018533534303640582,0.11102300164025954,27.45779870997156,0.9773963491583115,12,30
10,6,hva,11.386873202856352,4.24785095054638,52.0916641746473,41.47063794488657,63.59337000178408,1.0769473642807743,0.9857712187508488,1.1684427553201466,0.024261259709987607,0.019069415536900752,0.115897614264541,50.82785478138074,0.9757387402900127,12,30
4,8,hea,0.19370645983518264,1.0868256621005115,0.21636702843753167,0.19060822092718335,0.2427195532919124,1.027749069094129,0.9893107727005563,1.065925957157338,0.03848049768652699,0.050545326992754144,0.09861928891403535,0.20804111750030052,0.961519502313473,64,30
6,8,hea,0.07152021384321594,0.9554373883620441,0.06800855191650201,0.06342493353108306,0.07296105741324745,0.9952506987407178,0.9707456561491372,1.0198260741766083,0.029781112550961508,0.04392309995679239,0.08782935328443532,0.06598318157744876,0.9702188874490385,96,30
8,8,hea,0.023718798222111863,0.9835493415662234,0.02333978059927367,0.021788134054982988,0.024942487700630137,1.0004789066280455,0.9779951540525388,1.0231693170116005,0.03138663790064002,0.04463465844892024,0.08875828722609885,0.022607223356923882,0.9686133620993599,128,30
10,8,hea,0.007740650060526666,1.0008271232484638,0.007766315328705161,0.007416698444493777,0.008127650585508055,1.0024864677856864,0.9806543564931754,1.0255028618762423,0.03355276101689007,0.049513436454778646,0.08931770602149385,0.007505734006499303,0.9664472389831094,160,30
4,8,hva,4.682978047109794,1.8294346069842398,8.504971310028,7.098262258896193,10.087702935582936,0.9927361590921976,0.9004271531456793,1.0833765888335256,0.03252333525561099,0.028019421788010274,0.11769427113681123,8.228361276772608,0.9674766647443891,16,30
6,8,hva,6.689230754446232,2.2368966802557155,15.559017965135151,11.335504663382595,20.394042855319686,1.039824580300608,0.9123477765791485,1.1542085377670162,0.024900911649231267,0.02603864283792042,0.10519348167406782,15.171584233436521,0.9750990883507689,16,30
8,8,hva,9.203007078573101,3.2586829431277513,33.13796112949266,24.05199246884448,43.76086179746132,1.104978736248736,0.9852092291771009,1.2220244605754853,0.022499395391186866,0.02483002659953954,0.10876975900007688,32.39237703958243,0.9775006046088133,16,30
10,8,hva,11.878622187585345,4.573617598825371,60.80559946076577,45.22436715573263,78.26976898958279,1.1192256502856464,1.0121333139131832,1.2263038363779835,0.020913733380852027,0.024087138460497294,0.10362243389084731,59.533927365580425,0.9790862666191478,16,30
